@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Spot,NotSpot}

@data
1,1.519544,1.857143,1.809524,1.096993,-0.422551,1.575758,1.501894,0.794992,-0.724552,-0.302001,1.046693,1.372811,0.716128,-0.803416,-0.380865,-0.078864,0.744681,0.874465,Spot
2,1.534048,1.714286,1.238095,1.118415,-0.415633,1.666667,2.604167,0.800672,-0.733375,-0.317742,1.128405,1.542042,0.717499,-0.816548,-0.400915,-0.083173,0.757852,0.874938,Spot
3,1.601875,2.857143,3.809524,1.123474,-0.478401,1.454545,2.505682,0.876227,-0.725647,-0.247246,1.128405,1.667042,0.809462,-0.792412,-0.314011,-0.066765,0.839476,0.971308,Spot
3,2.019115,2.714286,0.904762,1.236872,-0.782243,2.181818,4.153409,0.894372,-1.124743,-0.3425,1.198444,1.73781,0.818051,-1.201064,-0.418822,-0.076322,0.85063,0.980104,Spot
4,2.264209,3.285714,3.238095,1.306035,-0.958174,2.272727,3.579545,0.90654,-1.35767,-0.399495,1.210117,1.799428,0.826795,-1.437414,-0.47924,-0.079745,0.864694,1.002062,Spot
3,2.0228,2.571429,1.952381,1.297921,-0.724879,2.212121,3.484848,0.911663,-1.111137,-0.386258,1.22179,1.845148,0.835661,-1.187139,-0.46226,-0.076002,0.864694,0.999151,Spot
2,1.538029,1.428571,1.285714,1.215951,-0.322078,1.606061,1.933712,0.910163,-0.627866,-0.305789,1.22179,1.743586,0.844647,-0.693382,-0.371305,-0.065516,0.866634,1.013258,Spot
6,1.669424,2,4.333333,1.174399,-0.495026,1.484848,2.382576,0.888865,-0.780559,-0.285534,1.143969,1.826848,0.817938,-0.851486,-0.35646,-0.070927,0.85451,0.982219,Spot
2,2.174357,3.142857,2.142857,1.307151,-0.867206,2.181818,3.278409,0.909298,-1.265059,-0.397852,1.291829,1.840285,0.826725,-1.347632,-0.480426,-0.082574,0.858875,0.996571,Spot
3,2.406228,3.571429,4.285714,1.389616,-1.016613,2.606061,3.933712,0.923414,-1.482814,-0.466201,1.319066,1.991549,0.835614,-1.570614,-0.554001,-0.0878,0.872939,1.02606,Spot
2,2.068246,2,2.333333,1.384626,-0.68362,2.181818,3.278409,0.929986,-1.13826,-0.45464,1.338521,1.943549,0.844562,-1.223684,-0.540064,-0.085424,0.876819,1.022179,Spot
0,1.507782,1.285714,0.904762,1.296592,-0.21119,1.515152,1.945076,0.929316,-0.578466,-0.367276,1.322957,2.008573,0.853562,-0.654221,-0.44303,-0.075755,0.880698,1.026032,Spot
8,2.361039,3,6,1.437485,-0.923554,2.212121,3.234848,1.037605,-1.323434,-0.39988,1.346303,1.758512,0.904964,-1.456075,-0.532521,-0.132641,0.998545,1.19699,Spot
3,2.053825,3,6.666667,1.462107,-0.591718,2.151515,3.445076,1.039584,-1.014241,-0.422523,1.478599,1.922392,0.899436,-1.154389,-0.562671,-0.140148,0.99321,1.198401,Spot
6,2.252407,2.571429,3.952381,1.397621,-0.854786,2.333333,3.041667,1.057292,-1.195115,-0.340329,1.284047,1.751034,0.921418,-1.330989,-0.476203,-0.135874,1.044617,1.252739,Spot
3,2.570736,4.285714,3.904762,1.476907,-1.09383,2.484848,3.445076,1.063299,-1.507438,-0.413608,1.36965,1.827669,0.916022,-1.654715,-0.560885,-0.147277,1.035887,1.232093,Spot
3,2.302585,3.142857,4.142857,1.50932,-0.793266,2.454545,3.880682,1.065352,-1.237234,-0.443968,1.533074,2.203003,0.910619,-1.391966,-0.5987,-0.154732,1.022308,1.239677,Spot
1,1.751232,1.428571,1.285714,1.505958,-0.245273,1.787879,2.484848,1.061597,-0.689634,-0.444361,1.548638,2.209539,0.905046,-0.846185,-0.600912,-0.156551,1.002425,1.202808,Spot
4,1.983619,2.857143,2.809524,1.372639,-0.61098,1.939394,2.558712,1.075647,-0.907972,-0.296993,1.319066,1.718112,0.930395,-1.053224,-0.442244,-0.145251,1.066925,1.294888,Spot
3,2.292528,3.285714,3.571429,1.450968,-0.84156,2.393939,3.558712,1.081796,-1.210732,-0.369172,1.354086,1.84679,0.925192,-1.367336,-0.525775,-0.156603,1.051891,1.260285,Spot
7,2.28639,3.285714,2.904762,1.495366,-0.791024,2.181818,2.278409,1.083894,-1.202496,-0.411472,1.431907,2.027572,0.919958,-1.366432,-0.575407,-0.163936,1.050921,1.278823,Spot
2,1.949147,2.714286,4.904762,1.506484,-0.442663,1.878788,2.234848,1.079986,-0.869161,-0.426498,1.529183,2.132934,0.914539,-1.034609,-0.591945,-0.165448,1.032008,1.256617,Spot
1,1.638342,1.571429,1.285714,1.37805,-0.260292,1.727273,2.392045,1.093095,-0.545247,-0.284955,1.36965,1.726107,0.93229,-0.706052,-0.44576,-0.160805,1.06838,1.287413,Spot
3,1.794354,2,6.666667,1.430602,-0.363753,1.818182,2.340909,1.095264,-0.699091,-0.335338,1.428016,1.839525,0.927269,-0.867085,-0.503332,-0.167994,1.063531,1.287083,Spot
6,1.873606,3,7.333333,1.306748,-0.566858,1.575758,2.814394,0.981039,-0.892567,-0.325709,1.268482,1.650292,0.869309,-1.004297,-0.437439,-0.11173,0.93453,1.103426,Spot
6,1.933241,2.714286,5.571429,1.244456,-0.688785,1.878788,3.422348,0.961982,-0.971259,-0.282474,1.18677,1.566543,0.863339,-1.069902,-0.381117,-0.098643,0.939379,1.124416,Spot
5,1.98263,3.142857,3.809524,1.388525,-0.594104,1.757576,3.876894,1.010948,-0.971681,-0.377577,1.463035,1.991792,0.88207,-1.10056,-0.506456,-0.128878,0.963628,1.153941,Spot
3,1.981177,3.285714,7.571429,1.31478,-0.666397,1.848485,3.632576,0.990223,-0.990954,-0.324557,1.319066,1.679049,0.876085,-1.105092,-0.438695,-0.114138,0.974297,1.174982,Spot
4,2.022557,3,6.666667,1.43796,-0.584598,1.848485,3.320076,1.035048,-0.98751,-0.402912,1.439689,1.8567,0.893498,-1.129059,-0.544462,-0.141549,0.986421,1.198263,Spot
7,2.036826,2.428571,6.285714,1.353067,-0.683758,2.030303,3.280303,1.013286,-1.02354,-0.339781,1.322957,1.65701,0.887566,-1.14926,-0.465502,-0.12572,0.991271,1.206134,Spot
3,1.959128,2.285714,2.904762,1.442182,-0.516947,2.181818,3.090909,1.052747,-0.906382,-0.389435,1.400778,1.873906,0.903254,-1.055874,-0.538928,-0.149493,1.004365,1.212499,Spot
1,1.95274,3.142857,3.476191,1.351303,-0.601437,1.939394,2.808712,1.03058,-0.92216,-0.320723,1.330739,1.76909,0.897445,-1.055295,-0.453858,-0.133135,1.002425,1.223187,Spot
0,1.072385,1.142857,1.142857,1.148452,0.076067,1.151515,1.132576,1.029324,-0.043061,-0.119128,1.182879,1.275018,0.916236,-0.156148,-0.232215,-0.113087,1.00194,1.14216,NotSpot
1,1.038874,0.571429,0.619048,1.172275,0.133401,1.121212,0.859848,1.040549,0.001675,-0.131726,1.182879,1.290643,0.920348,-0.118526,-0.251927,-0.120201,1.011154,1.146406,NotSpot
2,1.268432,1.714286,0.571429,1.198735,-0.069697,1.151515,1.070076,1.046603,-0.22183,-0.152132,1.210117,1.322866,0.922884,-0.345549,-0.275851,-0.123719,1.021824,1.153818,NotSpot
3,1.481019,1.428571,1.285714,1.214438,-0.266581,1.515152,1.445076,1.046913,-0.434106,-0.167525,1.182879,1.259393,0.923678,-0.557342,-0.290761,-0.123236,1.025703,1.141018,NotSpot
0,1.50267,1.714286,1.238095,1.205485,-0.297185,1.818182,1.590909,1.041379,-0.461291,-0.164106,1.128405,1.260792,0.922665,-0.580005,-0.28282,-0.118714,1.035403,1.137514,NotSpot
0,1.210247,1.142857,3.476191,1.17472,-0.035527,1.272727,1.392045,1.018906,-0.191341,-0.155813,1.182879,1.267206,0.910227,-0.30002,-0.264493,-0.108679,1.012609,1.152679,NotSpot
1,1.250967,1.285714,0.904762,1.185128,-0.065838,1.242424,1.376894,1.034413,-0.216553,-0.150715,1.206226,1.250274,0.9163,-0.334667,-0.268829,-0.118114,1.027158,1.155012,NotSpot
2,1.146323,1,0.666667,1.193682,0.047359,0.939394,0.621212,1.046071,-0.100251,-0.147611,1.198444,1.308123,0.921074,-0.225249,-0.272608,-0.124998,1.036857,1.166035,NotSpot
0,1.117666,1,0.666667,1.204095,0.08643,1.030303,0.592803,1.053051,-0.064615,-0.151044,1.206226,1.304961,0.924397,-0.193269,-0.279698,-0.128654,1.029583,1.171856,NotSpot
1,1.326607,1,0.666667,1.213095,-0.113512,1.424242,1.251894,1.054783,-0.271824,-0.158312,1.217899,1.31171,0.926114,-0.400494,-0.286982,-0.12867,1.038312,1.171263,NotSpot
0,1.533383,2.142857,3.142857,1.210103,-0.32328,1.606061,1.433712,1.050981,-0.482402,-0.159123,1.132296,1.248055,0.926083,-0.607301,-0.284021,-0.124898,1.043162,1.154371,NotSpot
3,1.545915,1.571429,2.285714,1.185036,-0.360879,1.484848,1.695076,1.041775,-0.50414,-0.143261,1.163424,1.207563,0.924249,-0.621666,-0.260787,-0.117527,1.041707,1.149157,NotSpot
3,1.433611,2.142857,1.142857,1.136535,-0.297076,1.121212,1.234848,1.027625,-0.405985,-0.10891,1.062257,1.074234,0.920568,-0.513043,-0.215967,-0.107058,1.024248,1.124108,NotSpot
0,1.220651,1.428571,1.619048,1.072361,-0.148291,1.333333,1.229167,1.009157,-0.211494,-0.063203,1.046693,1.083749,0.915053,-0.305598,-0.157308,-0.094104,1.008244,1.105706,NotSpot
0,1.220624,1.142857,0.809524,1.219923,-0.000701,1.181818,1.090909,1.024075,-0.196549,-0.195848,1.303502,1.368464,0.909205,-0.311419,-0.310718,-0.11487,1.008244,1.129966,NotSpot
2,1.290223,1.571429,1.952381,1.227313,-0.06291,1.333333,1.604167,1.039522,-0.250701,-0.187791,1.2607,1.427864,0.91565,-0.374573,-0.311663,-0.123872,1.022308,1.146518,NotSpot
1,1.326974,1.142857,0.47619,1.232085,-0.094889,1.454545,1.318182,1.051578,-0.275396,-0.180507,1.2607,1.334114,0.921077,-0.405897,-0.311008,-0.130501,1.035887,1.146698,NotSpot
1,1.320535,1.285714,0.571429,1.233971,-0.086564,1.363636,1.301136,1.059473,-0.261062,-0.174498,1.245136,1.326392,0.92516,-0.395375,-0.308811,-0.134313,1.046557,1.184634,NotSpot
2,1.319852,0.857143,0.47619,1.231805,-0.088047,1.545455,1.630682,1.062584,-0.257268,-0.169221,1.241245,1.402511,0.927766,-0.392086,-0.304039,-0.134818,1.041707,1.186033,NotSpot
1,1.424719,1.571429,1.619048,1.221385,-0.203334,1.545455,1.693182,1.06055,-0.364169,-0.160835,1.159533,1.142419,0.928741,-0.495978,-0.292644,-0.131808,1.040252,1.172081,NotSpot
4,1.504384,2.142857,2.142857,1.196673,-0.307711,1.484848,1.820076,1.053317,-0.451068,-0.143356,1.163424,1.184126,0.927973,-0.576411,-0.2687,-0.125344,1.048497,1.172805,NotSpot
3,1.359596,1.714286,2.904762,1.154875,-0.204721,1.272727,1.829545,1.041183,-0.318412,-0.113691,1.097276,1.111594,0.925413,-0.434183,-0.229462,-0.115771,1.039767,1.156108,NotSpot
2,1.198237,1.571429,1.619048,1.098858,-0.099379,1.212121,1.547348,1.024745,-0.173492,-0.074113,1.093385,1.16312,0.921032,-0.277204,-0.177826,-0.103712,1.028128,1.147195,NotSpot
2,1.076882,0.857143,0.809524,1.035164,-0.041719,1.212121,1.359848,1.004715,-0.072167,-0.030448,0.980545,0.980089,0.914858,-0.162025,-0.120306,-0.089858,1.004365,1.096051,NotSpot
1,0.933363,1,0.666667,0.972481,0.039118,0.878788,0.922348,0.981909,0.048546,0.009428,0.902724,0.861594,0.906964,-0.0264,-0.065518,-0.074946,0.982541,1.090428,NotSpot
0,1.399814,1.428571,0.952381,1.256905,-0.142909,1.454545,1.380682,1.027181,-0.372633,-0.229723,1.287938,1.260518,0.907313,-0.492501,-0.349592,-0.119869,1.009699,1.119751,NotSpot
2,1.354866,1.285714,1.571429,1.259383,-0.095483,1.333333,1.229167,1.042847,-0.312019,-0.216536,1.287938,1.33083,0.914166,-0.440701,-0.345217,-0.128681,1.016489,1.13704,NotSpot
2,1.373626,1.571429,0.619048,1.257662,-0.115964,1.242424,1.126894,1.055389,-0.318237,-0.202273,1.307393,1.416859,0.920071,-0.453555,-0.337591,-0.135318,1.022793,1.127573,NotSpot
1,1.409204,1.428571,0.285714,1.255851,-0.153353,1.484848,1.320076,1.064237,-0.344966,-0.191613,1.315175,1.42762,0.924915,-0.484289,-0.330936,-0.139323,1.052376,1.180176,NotSpot
1,1.463179,1.857143,2.142857,1.25153,-0.211649,1.393939,1.433712,1.06883,-0.394349,-0.1827,1.276265,1.372599,0.928379,-0.5348,-0.323152,-0.140451,1.057226,1.188378,NotSpot
1,1.417447,1.571429,2.285714,1.239117,-0.178331,1.454545,1.630682,1.0687,-0.348747,-0.170416,1.233463,1.382782,0.930346,-0.487101,-0.30877,-0.138354,1.050436,1.176494,NotSpot
0,1.358979,1.571429,1.952381,1.213899,-0.14508,1.333333,1.541667,1.063655,-0.295325,-0.150244,1.214008,1.239178,0.93067,-0.428309,-0.283229,-0.132985,1.044617,1.188692,NotSpot
3,1.263781,1.285714,2.904762,1.174272,-0.089509,1,1.5,1.053808,-0.209973,-0.120464,1.155642,1.170993,0.929259,-0.334522,-0.245013,-0.124549,1.053346,1.187837,NotSpot
0,1.014588,0.857143,2.142857,1.123888,0.109299,1.090909,1.397727,1.039552,0.024963,-0.084336,1.143969,1.115911,0.926073,-0.088516,-0.197815,-0.113479,1.048012,1.168485,NotSpot
0,0.898958,0.714286,0.571429,1.068486,0.169528,0.878788,1.047348,1.021563,0.122605,-0.046923,1.093385,1.155308,0.921097,0.022139,-0.147389,-0.100466,1.026673,1.136115,NotSpot
1,0.910822,1,1.333333,1.012131,0.101308,0.848485,0.632576,1.000596,0.089774,-0.011534,1,1.023438,0.914367,0.003544,-0.097764,-0.08623,1.013094,1.132774,NotSpot
1,0.819297,0.714286,0.238095,0.958313,0.139016,0.757576,0.626894,0.977468,0.158172,0.019156,0.949416,0.94665,0.905966,0.08667,-0.052346,-0.071502,0.978661,1.112596,NotSpot
0,0.636995,0.142857,0.142857,0.914622,0.277627,0.727273,0.517045,0.952977,0.315982,0.038355,0.984436,0.906007,0.896062,0.259067,-0.01856,-0.056915,0.941804,1.067936,NotSpot
4,1.588959,2,2.666667,1.267159,-0.3218,1.515152,1.570076,1.026789,-0.56217,-0.240369,1.245136,1.217017,0.904334,-0.684625,-0.362824,-0.122455,1.007759,1.082909,NotSpot
1,1.485998,1.428571,2.619048,1.274976,-0.211022,1.575758,2.126894,1.042597,-0.443401,-0.232378,1.29572,1.271583,0.911412,-0.574586,-0.363564,-0.131185,1.024248,1.120227,NotSpot
3,1.366733,1.714286,1.238095,1.266421,-0.100311,1.333333,1.541667,1.055725,-0.311008,-0.210697,1.272374,1.363023,0.917825,-0.448907,-0.348596,-0.1379,1.020854,1.128628,NotSpot
2,1.273134,1.142857,1.47619,1.254162,-0.018972,1.181818,1.028409,1.065562,-0.207572,-0.1886,1.272374,1.409898,0.923257,-0.349878,-0.330905,-0.142306,1.046557,1.134173,NotSpot
1,1.256641,1.285714,0.571429,1.244866,-0.011775,1.363636,1.863636,1.071642,-0.184999,-0.173224,1.268482,1.439354,0.927594,-0.329047,-0.317272,-0.144047,1.059651,1.169172,NotSpot
2,1.266942,1.142857,1.142857,1.235901,-0.031041,1.363636,1.363636,1.073578,-0.193364,-0.162323,1.276265,1.411661,0.930526,-0.336415,-0.305374,-0.143051,1.06547,1.182999,NotSpot
0,1.175673,1,0.333333,1.219531,0.043858,1.272727,1.704545,1.070999,-0.104674,-0.148532,1.276265,1.419474,0.931953,-0.24372,-0.287578,-0.139046,1.061106,1.19083,NotSpot
1,1.090963,0.285714,0.238095,1.191085,0.100122,1.181818,1.590909,1.063826,-0.027138,-0.127259,1.182879,1.243768,0.931729,-0.159234,-0.259356,-0.132097,1.052376,1.18891,NotSpot
0,1.029442,1,1.333333,1.151081,0.121639,1.151515,1.695076,1.052264,0.022822,-0.098817,1.190661,1.3346,0.929787,-0.099656,-0.221295,-0.122478,1.053346,1.188807,NotSpot
0,0.923621,0.714286,1.238095,1.105364,0.181742,0.878788,0.984848,1.036719,0.113098,-0.068644,1.116732,1.228508,0.926088,0.002466,-0.179276,-0.110632,1.031523,1.147477,NotSpot
1,0.903301,0.571429,0.285714,1.05918,0.155879,0.878788,0.734848,1.017905,0.114604,-0.041275,1.128405,1.245167,0.920633,0.017332,-0.138547,-0.097272,1.016004,1.130748,NotSpot
0,0.917892,0.857143,0.47619,1.01366,0.095768,0.878788,0.547348,0.996571,0.07868,-0.017089,1.046693,1.068124,0.913465,-0.004427,-0.100195,-0.083107,0.99903,1.131489,NotSpot
0,0.836291,0.714286,0.571429,0.968403,0.132112,0.878788,0.609848,0.973524,0.137233,0.005121,0.992218,1.031189,0.904674,0.068382,-0.063729,-0.06885,0.976722,1.129977,NotSpot
0,0.69122,0.428571,0.619048,0.928437,0.237216,0.727273,0.579545,0.94953,0.258309,0.021093,0.957198,0.963005,0.894431,0.20321,-0.034006,-0.055099,0.951503,1.085468,NotSpot
0,0.62315,0.428571,0.619048,0.904191,0.281041,0.515152,0.507576,0.925061,0.301911,0.02087,0.957198,0.94738,0.882969,0.259819,-0.021222,-0.042092,0.916586,1.048837,NotSpot
1,1.358126,0.857143,0.47619,1.236719,-0.121407,1.484848,1.257576,1.022263,-0.335864,-0.214457,1.249027,1.226806,0.900052,-0.458074,-0.336667,-0.122211,0.99709,1.066464,NotSpot
0,1.445858,1.571429,2.285714,1.261722,-0.184137,1.424242,1.751894,1.037772,-0.408087,-0.22395,1.29572,1.271583,0.90729,-0.538568,-0.354432,-0.130482,1.010184,1.087232,NotSpot
0,1.378398,1.285714,2.571429,1.259029,-0.119369,1.454545,1.693182,1.051288,-0.327111,-0.207741,1.256809,1.355666,0.914034,-0.464364,-0.344995,-0.137254,1.034918,1.114743,NotSpot
0,1.258035,0.857143,1.47619,1.240423,-0.017612,1.333333,1.354167,1.062091,-0.195944,-0.178332,1.276265,1.388224,0.920079,-0.337956,-0.320344,-0.142012,1.045587,1.12941,NotSpot
0,1.146206,1.285714,1.238095,1.219784,0.073578,1.090909,1.085227,1.069664,-0.076542,-0.15012,1.272374,1.534898,0.925119,-0.221087,-0.294665,-0.144545,1.054316,1.13339,NotSpot
2,1.058279,0.714286,0.904762,1.205728,0.147449,0.909091,0.835227,1.073613,0.015334,-0.132116,1.229572,1.497872,0.929044,-0.129235,-0.276684,-0.144569,1.07032,1.177488,NotSpot
0,1.006749,0.857143,0.809524,1.196815,0.190066,0.909091,0.835227,1.073682,0.066933,-0.123134,1.322957,1.50076,0.931548,-0.075201,-0.265267,-0.142134,1.064985,1.186459,NotSpot
1,0.972738,0.571429,0.619048,1.184952,0.212215,0.909091,0.835227,1.069536,0.096799,-0.115416,1.214008,1.418866,0.932545,-0.040192,-0.252407,-0.136991,1.06644,1.207131,NotSpot
0,0.967534,0.714286,0.571429,1.165102,0.197568,0.969697,1.092803,1.061144,0.093609,-0.103958,1.225681,1.409807,0.931895,-0.035639,-0.233207,-0.129248,1.061106,1.195682,NotSpot
0,1.0408,0.857143,1.47619,1.137036,0.096236,1.212121,1.422348,1.048733,0.007932,-0.088303,1.171206,1.322136,0.929546,-0.111255,-0.20749,-0.119187,1.036372,1.161704,NotSpot
3,1.106633,1,1.333333,1.104684,-0.001949,1.060606,0.996212,1.032656,-0.073977,-0.072028,1.140078,1.292801,0.925464,-0.181169,-0.17922,-0.107192,1.012609,1.133271,NotSpot
1,1.131218,1.571429,0.619048,1.070478,-0.06074,1.090909,1.085227,1.013626,-0.117592,-0.056852,1.077821,1.18142,0.91966,-0.211558,-0.150818,-0.093966,0.999515,1.124211,NotSpot
2,1.123646,1,0.333333,1.033688,-0.089958,1.242424,1.189394,0.992363,-0.131283,-0.041325,1.015564,1.109132,0.912183,-0.211463,-0.121505,-0.08018,0.987391,1.114834,NotSpot
1,1.044432,1.142857,0.809524,0.992757,-0.051675,1.090909,1.022727,0.969659,-0.074773,-0.023098,0.953307,0.997811,0.903125,-0.141307,-0.089632,-0.066534,0.975267,1.127481,NotSpot
2,0.897705,1.142857,0.809524,0.951908,0.054204,0.818182,0.653409,0.946268,0.048563,-0.00564,0.941634,0.930174,0.892662,-0.005043,-0.059247,-0.053606,0.942774,1.069989,NotSpot
0,0.690597,0.285714,0.571429,0.92162,0.231023,0.757576,0.814394,0.922635,0.232038,0.001015,0.945525,0.911083,0.881034,0.190436,-0.040587,-0.041602,0.907371,1.033143,NotSpot
0,0.688536,0.714286,0.904762,0.912143,0.223607,0.69697,0.717803,0.899104,0.210568,-0.013039,0.957198,0.963005,0.868304,0.179769,-0.043838,-0.030799,0.886033,0.99865,NotSpot
2,1.259823,1.571429,0.952381,1.224252,-0.035571,1.242424,0.939394,1.028123,-0.231701,-0.19613,1.276265,1.356974,0.901724,-0.358099,-0.322528,-0.126399,1.00097,1.059679,NotSpot
1,1.237857,0.857143,0.809524,1.232862,-0.004995,1.454545,1.255682,1.041478,-0.196378,-0.191383,1.284047,1.321346,0.908715,-0.329141,-0.324146,-0.132763,1.012124,1.083308,NotSpot
1,1.178126,1,0.333333,1.219935,0.041809,1.151515,1.195076,1.052954,-0.125172,-0.166981,1.217899,1.288272,0.915193,-0.262933,-0.304742,-0.137761,1.032978,1.109053,NotSpot
2,1.148783,1,1.333333,1.194917,0.046134,1.30303,1.655303,1.061883,-0.086901,-0.133035,1.214008,1.348553,0.92095,-0.227834,-0.273967,-0.140933,1.057226,1.14374,NotSpot
1,1.093117,1,0.666667,1.170889,0.077771,1.121212,1.109848,1.067824,-0.025293,-0.103065,1.217899,1.389835,0.925692,-0.167426,-0.245197,-0.142132,1.066925,1.137683,NotSpot
0,0.989645,0.857143,0.47619,1.157424,0.167779,1.060606,0.996212,1.070422,0.080777,-0.087002,1.198444,1.323748,0.929307,-0.060338,-0.228117,-0.141115,1.06838,1.153498,NotSpot
1,0.983265,0.857143,0.809524,1.154371,0.171106,1,1.125,1.06949,0.086225,-0.084881,1.167315,1.43674,0.931498,-0.051767,-0.222873,-0.137992,1.057226,1.164118,NotSpot
2,1.010074,1,1.333333,1.153475,0.1434,0.878788,0.922348,1.064668,0.054593,-0.088807,1.217899,1.43671,0.932188,-0.077886,-0.221286,-0.132479,1.064985,1.186459,NotSpot
0,1.02306,0.857143,0.809524,1.147965,0.124905,1,1.4375,1.055908,0.032847,-0.092057,1.202335,1.412026,0.931241,-0.091819,-0.216724,-0.124666,1.059166,1.177478,NotSpot
1,1.138716,1.428571,3.285714,1.134929,-0.003787,1.090909,1.460227,1.043403,-0.095313,-0.091526,1.190661,1.443975,0.92862,-0.210097,-0.20631,-0.114783,1.019399,1.143728,NotSpot
1,1.210991,1.571429,0.952381,1.114758,-0.096233,1.060606,1.371212,1.0274,-0.183592,-0.087358,1.085603,1.312956,0.924291,-0.2867,-0.190467,-0.103108,1.00097,1.117903,NotSpot
1,1.216738,0.857143,0.142857,1.087364,-0.129374,1.424242,1.501894,1.008595,-0.208143,-0.078769,1.058366,1.148924,0.918273,-0.298464,-0.169091,-0.090322,0.992241,1.10911,NotSpot
1,1.226584,1.714286,2.571429,1.052565,-0.174019,1.121212,1.297348,0.987671,-0.238914,-0.064894,1.035019,1.197988,0.91062,-0.315964,-0.141944,-0.07705,0.979631,1.101962,NotSpot
2,1.172584,1.285714,0.571429,1.010776,-0.161808,1.212121,1.359848,0.965422,-0.207162,-0.045354,0.953307,0.919686,0.901425,-0.271159,-0.109351,-0.063996,0.960718,1.102289,NotSpot
2,1.029755,1.428571,0.619048,0.96738,-0.062375,0.818182,0.778409,0.942614,-0.087141,-0.024766,0.929961,0.940388,0.890859,-0.138896,-0.076521,-0.051755,0.920466,1.042677,NotSpot
0,0.767541,0.428571,0.619048,0.93204,0.164499,0.848485,0.820076,0.91972,0.152179,-0.012319,0.961089,0.982855,0.879175,0.111634,-0.052865,-0.040546,0.906402,1.034903,NotSpot
0,0.645559,0.285714,0.571429,0.915606,0.270047,0.666667,0.729167,0.897106,0.251547,-0.0185,0.945525,0.965771,0.86643,0.220871,-0.049176,-0.030675,0.886033,0.987005,NotSpot
