@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute class {Spots,'Not Spots'}

@data
13,6.764587,-2.946754,13,8.142858,10,14.476191,4.934853,-1.829734,-0.721226,20,6.606061,5,20.058712,Spots
10,9.332977,-3.937218,20,12.285714,13,28.904762,6.105499,-3.227479,-1.272007,21,9.454545,9,32.56818,Spots
20,12.10342,-6.553987,21,15.428572,17,32.952381,7.110473,-4.992947,-1.803605,42,12.424242,12,69.251892,Spots
21,13.595029,-7.730497,24,16.857143,18,41.476189,7.670926,-5.924103,-2.101829,42,13.878788,15,63.297348,Spots
15,12.722629,-5.055542,21,15.142858,15,17.809525,7.613885,-5.108744,-2.027651,42,13.484848,15,71.632576,Spots
18,10.705262,-4.046242,20,13.285714,15,49.238094,6.96088,-3.744382,-1.615111,21,10.333333,9,37.479168,Spots
14,8.071267,-2.546705,18,9.571428,9,44.619049,5.912486,-2.158782,-1.034619,20,8.090909,7,30.210228,Spots
7,4.256596,-0.876804,10,4.714286,4,8.571428,3.689825,-0.566771,-0.281447,13,4.454545,4,9.255682,Spots
10,6.302581,-2.399871,13,8,7,9.333333,4.671098,-1.631484,-0.65536,17,6.151515,5,17.132576,Spots
10,8.569263,-3.195215,17,9.714286,10,19.571428,5.709619,-2.859644,-1.130895,21,9,7,25.75,Spots
17,10.929582,-5.699704,20,13.428572,15,23.952381,6.570973,-4.358608,-1.559474,24,11.363636,10,37.551136,Spots
16,12.058572,-7.080585,22,16.142857,16,27.142857,7.013593,-5.044979,-1.759593,24,12.212121,12,36.297348,Spots
15,10.920238,-4.347664,16,12.142858,15,23.142857,6.904254,-4.015984,-1.633983,24,11.545455,10,37.94318,Spots
4,8.728086,-1.676709,18,10.142858,9,34.809525,6.286083,-2.442003,-1.242961,20,9.151515,8,30.882576,Spots
15,6.706956,-1.934897,15,8.142858,6,19.809525,5.349804,-1.357152,-0.750471,20,6.181818,5,26.02841,Spots
4,3.757421,-0.648781,7,4.428571,5,3.952381,3.362144,-0.395277,-0.203608,12,3.606061,3,7.746212,Spots
5,5.336257,-1.625711,12,6.428571,5,10.952381,4.157631,-1.178626,-0.481107,13,5.454545,5,10.068182,Spots
12,7.053265,-2.716068,12,8.142858,7,6.476191,4.980367,-2.072898,-0.819318,17,7.030303,6,16.467804,Spots
10,8.607251,-3.951973,17,11.285714,12,21.904762,5.640701,-2.96655,-1.103192,22,8.848485,7,31.695076,Spots
16,9.392381,-5.42354,17,12.428572,16,24.952381,5.956132,-3.436248,-1.208521,22,9.454545,9,32.81818,Spots
16,8.555021,-4.177459,16,12,10,12.333333,5.837584,-2.717437,-1.08223,22,8.212121,7,29.109848,Spots
9,6.660523,-0.894751,16,6.714286,6,21.571428,5.33303,-1.327494,-0.785524,18,6.69697,5,23.030304,Spots
5,4.230106,-1.104432,6,4.714286,5,2.904762,3.521014,-0.709091,-0.271427,12,4.515152,4,9.382576,Spots
6,5.291802,-1.909666,12,7.285714,6,16.238094,4.102779,-1.189023,-0.461363,12,5.151515,5,9.257576,Spots
12,5.966277,-1.827565,12,6.285714,5,11.571428,4.557793,-1.408484,-0.607996,17,6.090909,4,21.085228,Spots
5,6.284976,-1.925725,16,7.571429,5,26.285715,4.767252,-1.517724,-0.648959,17,6.454545,4,22.755682,Spots
10,6.033274,-2.354408,16,7.714286,6,23.238094,4.679423,-1.35385,-0.566101,17,6.090909,4,23.210228,Spots
6,5.06643,-1.103864,10,5.714286,6,9.904762,4.331205,-0.735225,-0.399349,16,5,5,10.6875,Spots
5,3.075503,-0.258363,5,3.142857,2,3.142857,2.891459,-0.184045,-0.086496,10,3,2,4.9375,Spots
2,3.641183,-0.596278,6,3.857143,4,2.476191,3.260033,-0.38115,-0.162805,12,3.878788,4,8.172348,Spots
4,3.830884,-0.210533,12,4.285714,4,12.904762,3.545353,-0.285531,-0.214667,12,3.939394,3,8.496212,Spots
4,3.95296,-0.226656,11,4.571429,4,9.619047,3.68143,-0.27153,-0.225629,16,3.848485,3,12.257576,Spots
11,4.116606,-1.359411,11,4.857143,4,17.476191,3.641672,-0.474934,-0.197763,16,3.818182,3,10.840909,Spots
3,4.500638,0.005054,8,4.285714,4,5.571429,4.058037,-0.442601,-0.337938,12,4.878788,4,10.672348,Spots
8,5.507444,-1.150656,10,5.857143,8,12.809524,4.482312,-1.025132,-0.527869,12,5.636364,6,13.551136,Spots
10,6.310691,-2.511102,12,8.285714,9,13.238095,4.679018,-1.631673,-0.661299,12,6.060606,7,10.371212,Spots
12,6.417472,-3.002247,12,8,9,8,4.570063,-1.847409,-0.662018,15,6.333333,7,12.791667,Spots
9,5.018553,-1.208092,9,5.714286,5,5.904762,4.290756,-0.727798,-0.394283,13,5.090909,4,14.585227,Spots
7,6.456789,-1.862911,12,7.571429,8,12.619047,5.017816,-1.438973,-0.68828,13,6.515152,7,14.007576,Spots
8,7.56257,-1.901184,11,8.285714,8,1.904762,5.558745,-2.003825,-0.959516,17,7.969697,8,17.717804,Spots
9,8.055385,-1.849299,11,8.142858,8,5.142857,5.752473,-2.302912,-1.095027,19,8.545455,8,15.943182,Spots
7,7.82555,-2.159689,12,8.285714,9,6.571429,5.52402,-2.301529,-1.023808,17,8.272727,9,16.892046,Spots
1,4.40136,0.461829,8,4.142857,5,6.142857,4.130016,-0.271344,-0.334597,13,4.848485,4,10.257576,Spots
8,6.443821,-1.225978,13,7.285714,8,21.238094,5.116046,-1.327775,-0.727599,13,6.242424,6,15.876894,Spots
12,8.83267,-3.319558,13,10.571428,11,4.952381,6.051095,-2.781575,-1.184864,20,8.666667,8,23.541666,Spots
11,10.504234,-3.833087,17,11.142858,11,10.476191,6.701681,-3.802554,-1.554797,42,11.484848,11,49.945076,Spots
8,10.905461,-3.3333,19,12,11,16,6.870138,-4.035324,-1.682696,25,11.515152,11,29.132576,Spots
10,10.177523,-3.50231,17,10.857142,10,13.809524,6.491689,-3.685833,-1.505056,25,10.727273,11,29.767046,Spots
4,5.48263,-0.359553,13,6,6,17.333334,4.658696,-0.823934,-0.550049,14,5.636364,5,13.801136,Spots
13,8.156627,-1.83866,13,8,8,16.333334,5.848152,-2.308475,-1.102049,17,8.424242,8,23.689394,Spots
12,11.478418,-5.103429,17,12.285714,12,15.238095,6.946488,-4.53193,-1.70769,42,12.393939,12,60.621212,Spots
17,14.091383,-8.764414,42,19.714285,17,107.904762,7.664629,-6.426754,-2.153737,42,14.727273,13,48.892044,Spots
19,14.476085,-8.311633,19,15.857142,17,14.809524,7.779804,-6.696281,-2.250102,42,15.909091,16,52.210228,Spots
17,12.944246,-7.224832,25,16,17,31,7.246579,-5.697668,-1.948599,31,13.393939,11,36.558712,Spots
9,6.566711,-1.885272,11,6.571429,6,11.952381,4.994845,-1.571866,-0.728143,16,6.545455,5,20.193182,Spots
10,9.853305,-4.299655,16,12.714286,13,7.904762,6.289261,-3.564044,-1.376759,42,10.484848,10,57.507576,Spots
16,13.699913,-8.947021,42,18.571428,16,120.619049,7.450687,-6.249226,-2.051085,42,14.181818,13,60.090908,Spots
42,16.481241,-13.547974,42,22.714285,19,81.238098,8.161118,-8.320124,-2.501279,42,16.333334,17,46.916668,Spots
19,16.344376,-11.378089,42,21.142857,19,91.809525,8.197083,-8.147292,-2.530787,42,17.333334,17,50.604168,Spots
19,14.094779,-9.045918,31,18.857143,19,48.809525,7.542579,-6.5522,-2.12277,42,15,15,59.0625,Spots
16,10.112806,-4.927409,21,11.857142,10,25.142857,6.288883,-3.823924,-1.418102,24,10.393939,10,32.996212,Spots
21,13.639519,-8.986066,24,17.714285,16,16.904762,7.387424,-6.252095,-2.048667,42,14.212121,12,57.234848,Spots
24,15.702965,-11.345774,42,22.285715,21,99.904762,8.010313,-7.692652,-2.42052,42,16.121212,16,49.797348,Spots
17,14.936154,-8.422709,24,17.571428,17,14.952381,7.961106,-6.975048,-2.365964,42,16.151516,16,60.570076,Spots
20,12.547888,-6.649257,20,15.142858,17,25.809525,7.2571,-5.290788,-1.909754,31,12.636364,14,46.863636,Spots
6,8.575022,-2.159829,16,9,7,23.333334,5.830362,-2.74466,-1.200955,22,9.181818,9,29.46591,Spots
15,11.360629,-5.554533,22,13.428572,15,51.619049,6.759107,-4.601522,-1.696353,24,11.545455,10,37.38068,Spots
22,12.838254,-7.712094,24,16.857143,16,21.476191,7.244082,-5.594172,-1.945692,42,13.454545,12,59.50568,Spots
12,11.725028,-4.51651,22,13,12,28.666666,7.134577,-4.590451,-1.831153,24,12.212121,12,38.484848,Spots
7,9.31795,-1.451262,20,8.428572,7,33.619049,6.473025,-2.844925,-1.40898,22,10.181818,9,35.903408,Spots
9,8.307308,-2.449157,17,9.571428,9,24.619047,5.742854,-2.564455,-1.148505,22,8.333333,6,35.166668,Spots
17,9.267678,-4.24479,22,11.285714,10,55.238094,6.083207,-3.184472,-1.28288,24,9.333333,9,37.916668,Spots
10,8.424862,-2.525524,17,10.142858,10,29.142857,5.959271,-2.465591,-1.161524,22,8.333333,8,30.666666,Spots
5,2.84334,-0.304473,8,3.571429,4,6.952381,2.94322,0.09988,0.018406,8,2.545455,2,4.005682,Spots
4,3.277341,0.527282,5,3,3,1.666667,3.487769,0.210428,-0.052951,8,2.939394,3,4.246212,Spots
1,3.693487,1.432882,7,3.142857,2,4.142857,4.066442,0.372955,-0.138093,11,3.757576,3,5.314394,Spots
2,4.198001,1.622716,8,4,4,5.333333,4.614892,0.416892,-0.24446,13,3.818182,3,7.715909,Spots
5,4.721933,1.861987,7,4.142857,4,3.142857,5.049263,0.327329,-0.36385,17,4.393939,3,15.121212,Spots
4,5.180245,1.909352,6,3.428571,3,2.952381,5.273816,0.093571,-0.451602,16,5.090909,4,16.272728,Spots
2,5.335562,1.379344,8,4.714286,5,5.238095,5.218933,-0.116629,-0.451311,16,5.212121,5,15.672348,Spots
5,4.844141,1.206385,8,3.857143,3,8.142858,4.882256,0.038116,-0.34382,18,5.030303,4,16.530304,Spots
8,3.735692,-0.836887,8,4.571429,5,7.619048,3.451992,-0.2837,-0.136409,8,3.484848,3,5.820076,Spots
3,4.490695,0.023932,8,5.428571,4,4.619048,4.211392,-0.279302,-0.283691,12,4.242424,4,8.501894,Spots
7,5.285711,0.698678,8,4.428571,5,6.619048,5.021395,-0.264316,-0.461858,16,5.515152,4,13.695076,Spots
5,6.144538,1.509001,9,5.285714,5,6.904762,5.791838,-0.3527,-0.672139,16,6.090909,5,15.272727,Spots
5,7.100234,1.618606,8,5.142857,5,3.142857,6.399541,-0.700693,-0.879347,20,7.575758,6,27.251894,Spots
6,7.934652,0.588223,16,8.428572,7,18.285715,6.70875,-1.225902,-1.006083,25,7.787879,6,32.609848,Spots
7,8.122515,-0.173353,14,6.857143,6,13.476191,6.629388,-1.493126,-0.980649,25,8.363636,6,32.113636,Spots
8,7.34184,-0.263367,12,7.857143,8,6.476191,6.166838,-1.175002,-0.793562,25,7.090909,6,27.397728,Spots
5,5.86203,0.819249,8,4.857143,5,4.476191,5.424855,-0.437175,-0.511682,19,6.272727,5,19.142046,Spots
8,4.566196,-1.154124,8,6,8,8,3.882482,-0.683715,-0.289607,14,4.545455,4,10.193182,Spots
8,5.743095,-0.712972,8,5,4,8.666667,4.845232,-0.897862,-0.520128,13,5.69697,5,11.467803,Spots
8,7.076427,-0.697516,12,9,8,4.666667,5.877942,-1.198484,-0.80147,16,6.666667,7,14.916667,Spots
9,8.607789,-0.532144,13,8.285714,8,7.904762,6.865481,-1.742308,-1.125124,23,8.666667,8,25.291666,Spots
8,10.14063,-1.191642,20,11.285714,11,23.238094,7.644493,-2.496137,-1.421168,23,10.121212,9,36.609848,Spots
12,11.019809,-1.555939,18,9.714286,8,22.904762,8.03976,-2.980049,-1.576402,25,11.484848,9,45.632576,Spots
6,10.871959,-1.499742,25,11.142858,8,49.809525,7.943927,-2.928032,-1.512375,29,11.515152,9,47.820076,Spots
8,9.657742,-1.167876,17,9.285714,8,19.571428,7.373091,-2.284651,-1.242463,25,10.242424,8,38.876892,Spots
6,7.757761,-0.205451,14,7.428571,8,11.952381,6.458702,-1.299059,-0.862765,19,7.727273,7,23.079546,Spots
8,5.940046,-0.094099,10,5.285714,5,9.238095,5.385735,-0.554312,-0.48664,14,5.757576,5,12.314394,Spots
8,4.997104,-1.072838,8,5.285714,6,6.571429,4.120141,-0.876964,-0.380982,12,5.30303,5,10.530303,Spots
1,6.454637,-0.552518,12,7.285714,8,15.904762,5.230573,-1.224064,-0.673369,12,6.575758,7,12.689394,Spots
12,8.308998,-1.210085,12,7.714286,8,16.904762,6.433328,-1.87567,-1.03632,21,8.787879,8,20.172348,Spots
10,10.612445,-2.800148,20,11.714286,10,22.904762,7.596222,-3.016223,-1.452697,23,10.878788,11,29.547348,Spots
20,12.687821,-4.629047,23,14.428572,13,30.285715,8.524167,-4.163654,-1.823001,23,12.969697,12,34.280304,Spots
13,13.490412,-4.143008,23,15.714286,15,27.238094,9.008593,-4.481819,-2.00482,30,13.969697,14,49.592804,Spots
15,13.003042,-3.493658,23,13.571428,14,30.952381,8.924963,-4.078079,-1.916155,30,13.606061,14,49.371212,Spots
14,11.500373,-3.003588,19,12.857142,14,17.142857,8.293575,-3.206798,-1.590599,30,11.484848,12,49.882576,Spots
14,9.340451,-1.978579,14,9.714286,12,23.571428,7.262889,-2.077562,-1.145172,21,9.545455,8,29.568182,Spots
3,7.053427,-0.468717,14,7.714286,6,20.904762,6.038677,-1.01475,-0.702931,21,7.121212,6,24.359848,Spots
6,4.991572,-1.096893,9,5.428571,6,10.952381,4.097708,-0.893864,-0.377043,12,5.212121,5,11.797348,Spots
5,6.661191,-1.291924,12,7.857143,7,18.476191,5.264184,-1.397006,-0.682711,16,7.030303,7,14.467803,Spots
12,8.73364,-2.277736,16,9.857142,9,13.809524,6.547404,-2.186235,-1.075612,21,8.484848,8,17.945076,Spots
16,11.216418,-3.909614,21,14,12,15,7.812734,-3.403685,-1.539128,23,11.030303,10,31.655304,Spots
16,13.377567,-4.93729,22,16.428572,16,26.619047,8.850183,-4.527385,-1.963061,23,13.393939,12,30.808712,Spots
19,14.302596,-4.602311,19,15.142858,16,6.476191,9.428135,-4.874461,-2.18837,30,15,15,42.1875,Spots
16,13.828455,-3.845233,30,16.142857,15,56.142857,9.400773,-4.427682,-2.121092,30,13.878788,14,40.172348,Spots
13,12.303569,-3.096207,19,13.428572,14,15.952381,8.776652,-3.526917,-1.792183,30,12.545455,14,43.88068,Spots
12,10.147956,-2.381942,21,11.571428,12,33.619049,7.704268,-2.443688,-1.321733,21,10.121212,11,35.234848,Spots
6,7.777528,-1.102796,15,8,8,20,6.400733,-1.376795,-0.840092,21,8.030303,7,28.655304,Spots
9,5.697001,-0.836,9,6,6,7.666667,5.073305,-0.623696,-0.430947,15,5.575758,5,16.876894,Spots
12,6.242878,-2.153975,12,7.285714,8,9.238095,4.938671,-1.304207,-0.551579,12,5.787879,6,12.109848,Spots
9,8.051232,-2.048822,12,9.428572,9,7.285714,6.198653,-1.852579,-0.914876,21,8.757576,8,22.001894,Spots
12,10.250061,-2.528961,16,11.285714,12,21.904762,7.477773,-2.772288,-1.374667,22,10.333333,10,24.791666,Spots
16,12.436552,-3.289056,16,12.857142,13,12.142858,8.570456,-3.866096,-1.831004,22,13.151515,13,30.070076,Spots
15,13.846999,-4.253863,21,16.428572,16,13.285714,9.234719,-4.61228,-2.119615,30,13.909091,14,33.147728,Spots
15,13.751479,-3.742124,24,14.857142,15,22.476191,9.300507,-4.450973,-2.121903,30,14.272727,15,45.267044,Spots
14,12.310143,-2.599603,17,13,14,18.666666,8.748555,-3.561588,-1.839261,30,12.727273,13,48.454544,Spots
12,10.077132,-1.51134,19,10.571428,12,31.952381,7.710522,-2.366611,-1.377793,22,10.30303,10,42.405304,Spots
8,7.696737,-0.696608,12,7.285714,7,11.238095,6.405474,-1.291263,-0.876949,21,7.575758,7,30.314394,Spots
7,5.684823,-1.052259,13,7.285714,7,12.904762,5.056077,-0.628745,-0.441795,15,5.666667,5,15.791667,Spots
9,5.21569,-1.946608,12,7.142857,8,10.142858,4.337821,-0.877869,-0.339504,15,4.939394,4,11.308712,Spots
8,6.680033,-1.767373,15,8.142858,8,13.476191,5.482346,-1.197687,-0.629321,15,6.333333,6,15.729167,Spots
15,8.633026,-2.198749,15,10.428572,12,18.952381,6.686131,-1.946895,-1.041503,19,8.363636,8,21.363636,Spots
12,10.89344,-3.111777,19,13,12,14.666667,7.763899,-3.129541,-1.49807,24,11.181818,11,34.340908,Spots
19,12.853167,-5.524893,24,16.571428,16,16.285715,8.478914,-4.374252,-1.840605,24,12.727273,13,34.704544,Spots
24,13.294106,-5.871943,24,15.714286,16,30.571428,8.643763,-4.650343,-1.926895,28,13.333333,14,44.791668,Spots
16,11.924861,-3.83908,24,14.142858,14,54.809525,8.206605,-3.718256,-1.719018,28,11.787879,12,52.672348,Spots
8,9.391397,-0.664735,17,9.285714,8,32.904762,7.270674,-2.120723,-1.298166,28,9.909091,8,56.460228,Spots
4,6.879583,0.780508,10,6.142857,6,6.809524,6.044514,-0.83507,-0.807491,19,7.272727,6,25.954546,Spots
8,3.915099,-1.162421,9,4.714286,4,11.238095,3.592986,-0.322113,-0.122443,12,3.727273,3,8.267045,Spots
7,4.964935,-0.780481,8,5.857143,7,6.476191,4.559305,-0.40563,-0.321122,15,4.848485,3,13.945076,Spots
8,6.559784,-0.834533,15,7.571429,7,16.285715,5.611701,-0.948083,-0.650652,16,6.515152,6,18.445076,Spots
10,8.617158,-1.70322,16,9.285714,9,18.238094,6.594923,-2.022234,-1.05634,20,8.969697,8,30.405304,Spots
16,10.593344,-3.976802,20,12.428572,11,36.952381,7.295805,-3.297539,-1.401306,24,10.454545,10,41.13068,Spots
11,11.372246,-4.707899,24,14,12,57.333332,7.528901,-3.843345,-1.542546,28,11.818182,12,59.215908,Spots
12,10.426311,-3.310442,28,12,11,67,7.21997,-3.20634,-1.416255,28,10.575758,9,56.251892,Spots
4,8.168735,0.001929,15,6.714286,4,26.571428,6.439402,-1.729333,-1.073181,28,8.787879,6,45.922348,Spots
4,5.974942,0.701719,15,5.571429,4,19.619047,5.369148,-0.605794,-0.641548,17,5.878788,5,18.922348,Spots
3,3.353748,0.512586,7,2.857143,3,4.809524,3.594282,0.240534,-0.069804,8,3.30303,3,6.280303,Spots
4,4.618845,0.121378,8,5.285714,5,5.904762,4.446585,-0.17226,-0.297243,15,4.424242,4,11.126894,Spots
8,6.142457,-0.419891,10,6,7,10.333333,5.26681,-0.875647,-0.600822,20,6.30303,5,20.155304,Spots
7,7.485935,-0.955711,16,8.142858,8,24.476191,5.881685,-1.604249,-0.880899,23,7.545455,7,32.94318,Spots
9,8.218966,-1.471527,12,7.571429,8,12.619047,6.131569,-2.087396,-1.024381,28,8.69697,7,53.655304,Spots
8,7.861718,-1.302707,18,7.857143,8,35.142857,5.938689,-1.923028,-0.966648,28,8.424242,6,45.376892,Spots
1,6.447757,0.273873,9,5.142857,5,7.809524,5.343211,-1.104546,-0.729483,28,7.090909,5,39.522728,Spots
7,3.302402,-0.588933,7,4,4,5.333333,3.354058,0.051656,-0.040944,8,3.060606,3,5.621212,Spots
7,4.203862,-0.682237,8,5.285714,5,4.571429,3.978266,-0.225596,-0.223057,12,3.757576,3,9.501894,Spots
4,4.786167,0.31252,7,4.714286,4,5.571429,4.459842,-0.326325,-0.398502,16,4.757576,4,16.189394,Spots
3,5.233638,0.241556,13,5.285714,4,18.238094,4.680569,-0.553069,-0.500325,18,5.30303,3,21.155304,Spots
5,5.166926,-0.027732,11,5.142857,3,10.142858,4.576089,-0.590837,-0.483148,18,4.939394,3,22.058712,Spots
19,6.584272,-4.596717,19,8.714286,6,37.904762,4.267257,-2.317015,-0.686852,19,6.151515,5,23.382576,Spots
5,7.142273,-2.934781,19,9.285714,7,40.904762,4.73405,-2.408223,-0.869781,19,7.242424,5,27.001894,Spots
13,7.619428,-3.797403,19,9.285714,12,41.57143,4.955688,-2.66374,-0.947756,20,8.060606,7,31.871212,Spots
12,7.447578,-4.0629,20,10,8,29.333334,4.880016,-2.567562,-0.900637,20,7.181818,6,24.71591,Spots
10,6.087776,-3.537884,16,7.857143,7,18.809525,4.138385,-1.94939,-0.579318,19,6.30303,5,20.717804,Spots
16,8.107457,-5.865395,19,13,14,20.666666,4.926434,-3.181024,-0.930053,19,7.878788,6,25.422348,Spots
15,9.336178,-5.470151,19,11,9,31.666666,5.545788,-3.79039,-1.21077,20,9.787879,9,32.484848,Spots
19,10.043922,-6.675964,20,15.285714,15,20.904762,5.853075,-4.190848,-1.331392,20,10.121212,9,26.172348,Spots
20,9.591351,-6.07015,20,13.142858,12,21.476191,5.782329,-3.809021,-1.264331,20,9.515152,9,23.632576,Spots
12,8.189013,-3.602397,20,9.714286,9,28.238094,5.361306,-2.827707,-1.052824,20,8.757576,8,17.564394,Spots
10,6.862813,-3.249273,12,9.142858,9,4.142857,4.687901,-2.174911,-0.769048,20,6.969697,6,11.717803,Spots
9,6.243104,-2.677632,14,8.285714,9,11.904762,4.487504,-1.7556,-0.618361,16,5.848485,5,13.882576,Spots
14,8.580558,-4.528826,16,10.142858,9,12.476191,5.415948,-3.16461,-1.044653,19,9.121212,9,23.172348,Spots
8,10.466899,-5.828978,19,14.285714,15,11.238095,6.158282,-4.308617,-1.394727,21,10.969697,9,20.905304,Spots
19,11.242199,-6.514819,19,13.142858,14,23.809525,6.540723,-4.701476,-1.547382,20,11.757576,12,17.439394,Spots
9,10.489726,-4.777409,20,13,10,26.666666,6.485044,-4.004682,-1.469362,20,11.030303,9,18.217804,Spots
8,8.961716,-2.888445,19,10.571428,9,16.952381,6.026594,-2.935122,-1.222123,20,9.060606,8,21.183712,Spots
11,7.566756,-2.954642,11,8.285714,8,4.904762,5.279687,-2.287069,-0.896883,19,7.666667,8,13.104167,Spots
9,8.366989,-2.928621,15,9.857142,9,12.142858,5.707184,-2.659805,-1.020812,21,8.69697,8,22.467804,Spots
15,10.626842,-5.579835,21,13.142858,14,20.476191,6.529219,-4.097624,-1.397967,21,11.090909,10,19.335228,Spots
15,11.506715,-5.970309,19,14.714286,15,9.571428,6.972467,-4.534248,-1.573044,21,12.181818,12,18.27841,Spots
16,10.910628,-4.907195,19,13.428572,15,18.285715,6.948833,-3.961795,-1.509538,20,11.212121,10,17.734848,Spots
19,9.509385,-3.532187,19,10.571428,8,27.952381,6.491485,-3.0179,-1.269681,19,9.575758,10,14.439394,Spots
5,7.932013,-2.443203,19,9.857142,10,29.142857,5.716617,-2.215396,-0.943229,19,8.212121,8,15.484848,Spots
12,6.257972,-2.267494,13,7.285714,7,16.238094,4.775175,-1.482797,-0.596126,19,6.272727,5,17.329546,Spots
9,8.019289,-2.287491,21,8.857142,8,32.476189,5.848954,-2.170335,-0.915366,21,8.121212,8,20.672348,Spots
21,10.298007,-5.30452,21,13.428572,14,26.285715,6.713776,-3.584231,-1.286182,21,10.060606,9,15.746212,Spots
16,11.288651,-5.663902,21,14.285714,15,15.904762,7.205881,-4.082769,-1.478692,21,11.454545,12,19.068182,Spots
16,10.997612,-4.939259,16,14,15,7,7.228805,-3.768807,-1.454913,21,11,10,15.8125,Spots
12,9.896188,-3.839,19,12.142858,10,15.476191,6.804087,-3.092101,-1.261001,19,10.151515,10,14.445076,Spots
10,8.301228,-2.468695,12,9.142858,10,7.809524,6.036928,-2.2643,-0.965792,19,8.69697,8,15.530303,Spots
7,6.473064,-1.539328,12,7.142857,7,8.809524,5.076743,-1.396321,-0.628154,13,6.848485,6,12.882576,Spots
5,7.600075,-1.361133,14,8.571428,8,7.619048,5.927614,-1.672461,-0.812461,21,7.939394,8,15.433712,Spots
14,9.649937,-3.476653,21,10.857142,11,31.809525,6.816857,-2.833079,-1.168003,21,9.969697,9,17.655304,Spots
12,10.685266,-4.090042,16,13.285714,14,5.238095,7.348459,-3.336807,-1.376447,21,10.818182,10,16.21591,Spots
15,10.627296,-3.466933,16,11.428572,11,11.285714,7.417909,-3.209388,-1.398771,16,11.030303,10,9.155303,Spots
10,9.929888,-3.174142,15,11.714286,12,6.904762,7.032442,-2.897446,-1.261054,19,10.484848,10,11.820076,Spots
12,8.596617,-2.604658,13,9.857142,10,9.476191,6.283104,-2.313513,-1.005648,15,8.484848,8,12.882576,Spots
4,6.687861,-0.956482,12,7.428571,6,10.619047,5.315623,-1.372238,-0.680528,13,6.969697,6,12.030303,Spots
7,7.448852,-1.009478,11,7.714286,7,4.571429,6.01467,-1.434182,-0.791161,15,7.515152,7,10.632576,Spots
11,9.379151,-2.594047,15,11.285714,12,12.571428,6.928252,-2.450899,-1.150222,21,9.757576,9,18.939394,Spots
15,10.365108,-2.823253,16,11.428572,11,12.952381,7.490367,-2.874741,-1.377339,16,10.424242,10,12.376894,Spots
11,10.42719,-2.178755,15,11.714286,11,8.571428,7.587701,-2.839489,-1.429258,26,10.606061,10,20.933712,Spots
14,10.04862,-2.732655,15,11.571428,11,4.952381,7.218765,-2.829855,-1.320968,21,10.333333,10,15.479167,Spots
12,9.022614,-3.034732,14,11,12,17,6.469293,-2.553322,-1.08073,15,8.878788,10,14.672348,Spots
