@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute class {Spot,NotSpot}

@data
5,13.599781,9.92513,1.874449,0.416993,8.467673,7.299006,15.068033,1.468252,1.129458,0.831073,0.776606,-1.183926,3.325,11.088222,-2.511559,-3.979812,0.163678,0.109085,0.054586,-0.327349,0.3483,9.175355,-4.424426,-5.892678,-1.912867,0.021424,0.008082,0.002324,-0.03183,0.03627,Spot
9,9.639801,3.781954,1.152851,0.25377,2.375333,2.983618,11.330184,1.690383,1.158787,0.43727,0.36304,0.358477,2.078731,10.675913,1.036112,-0.654271,0.153677,0.101656,0.037396,-0.217937,0.50597,9.034632,-0.605169,-2.295552,-1.641281,0.021675,0.008289,0.002423,-0.032388,0.068562,Spot
13,10.729856,4.843296,1.868539,0.836432,2.138324,4.362294,12.207999,1.478143,1.218299,0.568818,0.491912,0.157569,2.526778,10.903983,0.174127,-1.304016,0.163017,0.111539,0.016456,-0.258101,0.515501,9.074306,-1.655551,-3.133694,-1.829678,0.02182,0.008446,0.003275,-0.03354,0.067725,Spot
14,11.247251,5.447842,1.898107,0.980616,2.569118,4.612561,12.714048,1.466798,1.230123,0.628311,0.55503,0.046783,2.696527,11.032747,-0.214503,-1.681301,0.167416,0.116632,0.004183,-0.279865,0.515948,9.106592,-2.140658,-3.607456,-1.926155,0.021905,0.008309,0.003983,-0.034198,0.067019,Spot
10,10.896306,4.654917,1.197674,0.263259,3.193985,3.70663,12.645518,1.749212,1.234129,0.63243,0.479994,0.121705,2.553479,11.04606,0.149754,-1.599459,0.166124,0.116303,0.004479,-0.277948,0.513427,9.131198,-1.765108,-3.51432,-1.914862,0.021944,0.007858,0.00454,-0.034343,0.066558,Spot
18,13.968038,5.859158,3.840947,2.116013,-0.097802,6.898355,13.536478,-0.43156,1.135967,0.844717,0.755958,-0.464708,3.053221,11.090786,-2.877252,-2.445692,0.176744,0.123735,0.004931,-0.30541,0.523234,9.067613,-4.900425,-4.468865,-2.023173,0.02194,0.008508,0.003634,-0.034082,0.068254,Spot
22,17.633963,6.979792,6.619661,3.551377,-3.191247,10.264812,15.102952,-2.531011,1.125392,0.97783,0.974379,-1.128842,3.580306,11.367878,-6.266085,-3.735074,0.18825,0.136562,0.03542,-0.360231,0.510359,9.109912,-8.524051,-5.99304,-2.257966,0.02208,0.008783,0.004498,-0.03536,0.066703,Spot
13,19.123611,7.619896,7.372006,3.844998,-3.597107,11.521281,15.937922,-3.18569,1.275534,1.062319,0.901167,-1.436685,3.768332,11.521882,-7.601729,-4.416039,0.193304,0.143063,0.052871,-0.389237,0.496015,9.144403,-9.979209,-6.793519,-2.37748,0.022155,0.008759,0.005187,-0.036101,0.065362,Spot
14,17.040138,8.273254,5.23417,3.180948,-0.141864,9.578249,15.675897,-1.364242,1.244841,1.050523,0.942174,-1.136492,3.648941,11.53305,-5.507089,-4.142847,0.191067,0.142573,0.051942,-0.385582,0.494273,9.170717,-7.869421,-6.505179,-2.362332,0.02218,0.008411,0.005694,-0.036285,0.064412,Spot
11,13.611442,6.629828,2.506824,1.969912,2.153092,5.450911,14.453539,0.842097,1.264255,1.038698,0.657155,-0.431598,3.220882,11.402086,-2.209355,-3.051453,0.181907,0.134677,0.033087,-0.349671,0.504416,9.189053,-4.422389,-5.264486,-2.213034,0.022165,0.007751,0.006006,-0.035922,0.063897,Spot
22,20.717093,7.902781,6.832147,5.003008,-6.073643,11.149039,16.132496,-4.584597,1.32283,1.232574,0.826099,-1.729305,3.739908,11.456241,-9.260852,-4.676255,0.197372,0.14296,0.049614,-0.389945,0.507777,9.094652,-11.62244,-7.037844,-2.361588,0.022157,0.008531,0.004685,-0.035374,0.06758,Spot
51,29.544172,14.672655,8.564411,3.766879,-19.470188,15.150953,18.556263,-10.987909,1.812936,1.600914,0.303742,-3.110108,4.086901,11.776174,-17.767998,-6.780089,0.210833,0.158361,0.089031,-0.458224,0.461054,9.139142,-20.405029,-9.417121,-2.637032,0.022295,0.008933,0.005531,-0.036759,0.065349,Spot
74,33.482941,17.24107,9.39966,1.685751,-24.954977,16.425997,19.826227,-13.656713,2.092974,1.717897,0.033634,-3.777237,4.148357,11.952042,-21.530899,-7.874186,0.215992,0.165986,0.111746,-0.493723,0.422761,9.175485,-24.307457,-10.650743,-2.776557,0.022361,0.009047,0.006167,-0.037575,0.063386,Spot
43,28.371984,12.380252,7.130904,6.289516,-13.221641,15.965271,19.357651,-9.014334,2.014176,1.499716,0.289906,-3.223986,4.220967,11.960934,-16.411051,-7.396717,0.212035,0.1652,0.110923,-0.488158,0.423471,9.203276,-19.168709,-10.154375,-2.757658,0.022373,0.008841,0.006584,-0.037797,0.061943,Spot
21,19.254675,9.546692,5.576563,2.989477,0.980652,10.841136,17.371841,-1.882833,1.616116,1.057539,0.880802,-1.792853,4.087645,11.804251,-7.450424,-5.567591,0.200294,0.155555,0.086399,-0.442248,0.460404,9.222702,-10.031973,-8.149139,-2.581549,0.022345,0.008359,0.006735,-0.037439,0.061112,Spot
36,26.60218,11.247279,6.16421,6.063708,-11.34778,14.189376,18.343681,-8.258499,1.744671,1.580603,0.429381,-2.895893,4.03254,11.721459,-14.880721,-6.622222,0.212491,0.157378,0.085273,-0.455142,0.474115,9.114892,-17.487289,-9.228789,-2.606567,0.022313,0.008324,0.005547,-0.036184,0.066763,Spot
94,40.720524,21.514038,12.180017,1.9165,-35.610558,15.540699,21.553226,-19.167297,2.43593,2.138226,0.426761,-5.000917,3.908191,12.072622,-28.647902,-9.480604,0.22748,0.174587,0.131347,-0.533414,0.385815,9.161072,-31.559452,-12.392155,-2.911551,0.022453,0.008853,0.006347,-0.037653,0.063955,Spot
88,47.472614,23.98295,15.14811,6.397907,-45.528965,14.477991,23.257397,-24.215218,2.808321,2.375944,0.908301,-6.092566,3.584043,12.264424,-35.208191,-10.992972,0.231836,0.182704,0.159063,-0.573603,0.311428,9.198898,-38.273716,-14.058498,-3.065526,0.022515,0.009115,0.006901,-0.038532,0.061443,Spot
52,39.882915,16.281727,9.415909,0.233045,-25.464592,19.47225,22.650497,-17.232418,2.629648,2.049966,0.699306,-5.37892,4.027806,12.271652,-27.611263,-10.378845,0.22472,0.181102,0.16052,-0.566342,0.316885,9.227921,-30.654995,-13.422577,-3.043732,0.022518,0.009076,0.007198,-0.038793,0.059546,Spot
14,25.441626,10.757062,7.789383,3.2824,-0.314721,15.747638,20.005045,-5.436581,2.073773,1.399194,0.188152,-3.284815,4.519819,12.096324,-13.345302,-7.908721,0.210522,0.169865,0.132228,-0.512615,0.393761,9.248309,-16.193317,-10.756736,-2.848015,0.02248,0.008797,0.007173,-0.038451,0.058406,Spot
106,51.058525,21.072968,14.936437,7.823595,-43.833,15.816088,24.926252,-26.132273,3.064859,2.66726,1.422685,-7.154803,3.008836,12.411572,-38.646954,-12.514681,0.23876,0.191935,0.18135,-0.612046,0.219143,9.214165,-41.84436,-15.712088,-3.197407,0.022613,0.008921,0.007388,-0.038923,0.059878,Spot
38,43.41264,14.210458,8.418212,1.00543,-23.6341,21.952421,24.291544,-19.121096,2.672415,2.416621,1.346881,-6.435917,3.764809,12.418548,-30.994091,-11.872996,0.227343,0.188583,0.187745,-0.603672,0.230144,9.244176,-34.168465,-15.047368,-3.174372,0.022615,0.009048,0.007559,-0.039222,0.057614,Spot
20,27.724012,12.410065,8.028379,2.882789,1.498896,18.119602,21.333324,-6.390688,2.168857,1.529109,0.353392,-4.051358,4.721064,12.234982,-15.489031,-9.098343,0.21171,0.176506,0.157626,-0.545842,0.345677,9.265426,-18.458588,-12.067899,-2.969556,0.022572,0.008945,0.007393,-0.038909,0.056199,Spot
18,18.222902,7.615911,5.834499,2.174143,-0.392731,9.523059,15.054456,-3.168447,1.236768,0.885652,0.322245,-1.800175,2.546647,10.786036,-7.436866,-4.268419,0.144248,0.11273,0.05757,-0.314547,0.271309,8.900578,-9.322324,-6.153877,-1.885458,0.020421,0.006375,0.004716,-0.031511,0.022687,Spot
8,13.669096,7.052475,2.693406,0.609517,3.749552,6.717053,13.769773,0.100677,0.881791,0.649083,0.615951,-0.914922,2.448388,10.653016,-3.01608,-3.116756,0.138305,0.101541,0.045193,-0.285039,0.304026,8.886199,-4.782897,-4.883574,-1.766817,0.020306,0.006118,0.004509,-0.030933,0.02538,Spot
11,22.174397,9.019956,6.113966,3.565478,-0.659487,13.955832,16.351292,-5.823105,1.352335,1.12122,0.242974,-2.716529,2.787721,10.909195,-11.265202,-5.442097,0.148278,0.114289,0.079489,-0.342056,0.24991,8.918741,-13.255655,-7.43255,-1.990454,0.020609,0.006418,0.005065,-0.032092,0.020213,Spot
30,30.984001,12.370855,7.731443,2.694798,-17.407499,16.009371,17.628408,-13.355593,1.74065,1.455264,0.621131,-3.817045,2.339597,11.008245,-19.975756,-6.620163,0.152176,0.125271,0.089339,-0.366786,0.207811,8.918193,-22.065807,-8.710216,-2.090053,0.020601,0.006637,0.0052,-0.032438,0.019391,Spot
26,29.549616,12.755387,7.787072,3.736612,-16.805847,15.14654,17.271015,-12.278601,1.667594,1.401817,0.443594,-3.513004,2.404524,10.984011,-18.565605,-6.287004,0.151312,0.122842,0.087278,-0.361432,0.22014,8.910613,-20.639004,-8.360402,-2.073398,0.02054,0.006597,0.00518,-0.032316,0.020769,Spot
13,19.237741,8.545913,5.415493,2.980878,0.149542,12.22685,15.478532,-3.75921,1.18727,1.014325,0.151839,-2.049755,2.713976,10.838978,-8.398764,-4.639554,0.14532,0.107883,0.074051,-0.327253,0.275626,8.896165,-10.341577,-6.582367,-1.942813,0.020429,0.006279,0.005017,-0.031726,0.023888,Spot
28,29.151178,10.744399,6.660043,3.78888,-13.615562,16.900898,17.568771,-11.582407,1.623836,1.332147,0.727161,-3.683144,2.569187,11.008413,-18.142765,-6.560358,0.149588,0.116409,0.100145,-0.366141,0.222524,8.923162,-20.228016,-8.64561,-2.085252,0.020671,0.00649,0.005333,-0.032494,0.019597,Spot
104,41.727089,19.086016,17.745687,8.001005,-44.832706,11.973231,18.987198,-22.739891,1.988855,1.897357,1.087356,-4.973567,1.604252,11.11363,-30.613459,-7.873568,0.152715,0.131095,0.108545,-0.392355,0.161077,8.922941,-32.804146,-10.064257,-2.190689,0.020673,0.006765,0.005425,-0.032863,0.018546,Spot
71,38.339928,17.34634,14.718741,5.161461,-37.22654,14.549039,18.520596,-19.819332,1.845735,1.809595,0.882498,-4.537829,1.931899,11.089828,-27.250099,-7.430767,0.152655,0.127001,0.106852,-0.386508,0.177845,8.915568,-29.424358,-9.605027,-2.17426,0.020619,0.00674,0.005393,-0.032752,0.019915,Spot
17,23.213234,8.115584,7.854244,5.290013,-5.028673,15.016002,16.430058,-6.783176,1.410995,1.145233,0.15897,-2.715198,2.71934,10.939599,-12.273635,-5.490458,0.147672,0.10636,0.096,-0.350032,0.252786,8.901217,-14.312016,-7.52884,-2.038382,0.020515,0.006399,0.005249,-0.032163,0.023201,Spot
37,27.009369,11.219052,5.980227,5.239952,-10.478777,15.69491,17.3165,-9.692869,1.64249,1.148532,0.610352,-3.401374,2.664142,11.000864,-16.008505,-6.315636,0.145945,0.109575,0.107735,-0.363255,0.232172,8.921968,-18.087402,-8.394532,-2.078897,0.020689,0.006463,0.00535,-0.032503,0.020475,Spot
67,36.911751,17.343111,10.840005,3.88215,-32.065266,15.959469,18.628756,-18.282995,1.934338,1.570436,1.036377,-4.541152,2.031842,11.108048,-25.803703,-7.520707,0.14756,0.130044,0.111862,-0.389466,0.172861,8.922007,-27.989744,-9.706749,-2.186042,0.0207,0.006788,0.005399,-0.032887,0.019325,Spot
44,33.113293,14.005877,8.690136,0.366648,-23.06266,17.455297,18.137043,-14.97625,1.812463,1.427092,0.835892,-4.075447,2.295494,11.086823,-22.02647,-7.05022,0.148219,0.127272,0.108496,-0.383987,0.185296,8.914889,-24.198402,-9.222154,-2.171933,0.020656,0.006793,0.005342,-0.032791,0.020505,Spot
18,20.456459,10.276124,6.779151,3.475843,0.02113,13.35816,16.121758,-4.334702,1.404218,0.912663,0.047924,-2.364805,2.794684,10.939523,-9.516936,-5.182235,0.144926,0.108529,0.094791,-0.348246,0.254936,8.900786,-11.555673,-7.220971,-2.038736,0.020559,0.006481,0.005174,-0.032214,0.023599,Spot
10,17.998941,9.763572,4.946837,0.796025,4.02071,10.979521,15.717124,-2.281817,1.320578,0.785386,0.034032,-2.071932,2.875115,10.886353,-7.112588,-4.83077,0.138761,0.108159,0.086533,-0.333453,0.273707,8.915277,-9.083665,-6.801847,-1.971077,0.020664,0.006363,0.005092,-0.03212,0.022638,Spot
9,22.184254,8.938412,7.524821,1.010217,0.403374,14.76409,16.730839,-5.453415,1.524905,0.913557,0.378472,-2.816934,2.789289,10.991479,-11.192775,-5.73936,0.140437,0.122609,0.09527,-0.358316,0.232842,8.915533,-13.268721,-7.815306,-2.075946,0.020685,0.006709,0.005119,-0.032512,0.02152,Spot
7,20.131765,10.336558,6.571851,0.90876,2.855947,13.407498,16.313881,-3.817884,1.425566,0.836912,0.179484,-2.441963,2.828494,10.975085,-9.15668,-5.338796,0.140295,0.124111,0.089764,-0.35417,0.236487,8.908724,-11.223042,-7.405157,-2.066361,0.02065,0.006747,0.005035,-0.032432,0.022403,Spot
6,14.301079,9.367381,2.929906,0.001864,6.435611,7.762916,14.716706,0.415627,1.1118,0.592339,0.458869,-1.24527,2.747692,10.838866,-3.462213,-3.87784,0.137798,0.111495,0.072946,-0.322239,0.280878,8.895032,-5.406047,-5.821674,-1.943834,0.020563,0.006489,0.004828,-0.03188,0.025022,Spot
9,13.590755,6.959921,1.333669,1.029838,4.596414,5.996043,14.0707,0.479944,0.856539,0.754617,0.53341,-1.077746,2.573951,10.608345,-2.98241,-3.462355,0.134863,0.089164,0.058312,-0.282339,0.287099,8.91346,-4.677296,-5.15724,-1.694885,0.020564,0.007285,0.003537,-0.031386,0.028603,Spot
14,15.387933,6.17071,2.278696,1.655817,2.236197,7.538105,14.478605,-0.909328,1.000272,0.74677,0.394684,-1.352358,2.549529,10.647475,-4.740458,-3.83113,0.133858,0.089923,0.07025,-0.294031,0.285586,8.908859,-6.479074,-5.569746,-1.738616,0.020542,0.007017,0.003744,-0.031303,0.030085,Spot
17,15.549334,4.131242,3.760324,2.751801,-2.380883,7.066608,13.985984,-1.56335,0.966494,0.601236,0.479988,-1.087742,2.394225,10.597665,-4.951669,-3.388319,0.128948,0.091194,0.06334,-0.283482,0.297265,8.899067,-6.650267,-5.086917,-1.698598,0.020478,0.006626,0.003778,-0.030882,0.032117,Spot
11,13.075893,3.91098,2.822844,1.276272,-0.188136,4.962059,12.836874,-0.239019,0.754335,0.645424,0.380231,-0.489142,2.094105,10.463616,-2.612277,-2.373258,0.121277,0.087838,0.043974,-0.253089,0.315726,8.884656,-4.191237,-3.952218,-1.57896,0.02038,0.006173,0.003589,-0.030142,0.034372,Spot
6,16.567734,8.192564,3.873043,1.621916,2.697605,9.252172,14.708176,-1.859558,1.048129,0.93736,0.328238,-1.657251,2.641487,10.66632,-5.901414,-4.041856,0.139159,0.095429,0.055011,-0.289598,0.261648,8.929108,-7.638626,-5.779068,-1.737212,0.020689,0.007639,0.003709,-0.032037,0.025148,Spot
19,21.551304,7.065641,5.490894,2.632871,-1.058124,11.598717,16.192003,-5.359301,1.326142,1.160915,0.192085,-2.679142,2.588369,10.800047,-10.751257,-5.391956,0.141899,0.100631,0.082014,-0.324544,0.235936,8.931719,-12.619585,-7.260284,-1.868328,0.020714,0.007625,0.003995,-0.032334,0.02498,Spot
25,24.4104,7.481996,4.65419,3.500448,-8.635737,10.947429,16.605053,-7.805347,1.495147,1.162265,0.29649,-2.953901,2.425393,10.843595,-13.566806,-5.761458,0.139445,0.099609,0.097799,-0.336853,0.227271,8.928963,-15.481438,-7.67609,-1.914632,0.020695,0.007467,0.004129,-0.032291,0.025937,Spot
69,22.838388,9.238145,7.023256,1.695844,-14.565557,8.526477,15.760321,-7.078068,1.371043,0.941321,0.012548,-2.299817,2.447445,10.788492,-12.049896,-4.971828,0.133894,0.103206,0.086516,-0.323616,0.248436,8.920762,-13.917626,-6.839559,-1.86773,0.020632,0.007184,0.004073,-0.031889,0.027785,Spot
21,16.593458,5.337043,4.228632,3.331743,-4.440154,7.078653,14.081045,-2.512413,1.018394,0.61125,0.466037,-1.163607,2.332805,10.640697,-5.952761,-3.440348,0.126707,0.097657,0.063484,-0.287847,0.284488,8.907681,-7.685778,-5.173365,-1.733017,0.02053,0.006823,0.003796,-0.03115,0.030117,Spot
16,15.343249,7.649062,4.29532,3.397361,-0.043619,8.050941,13.600855,-1.742394,0.945884,0.805264,0.607512,-1.143636,2.404225,10.544341,-4.798908,-3.056514,0.13583,0.085747,0.033279,-0.254856,0.269845,8.928743,-6.414506,-4.672112,-1.615598,0.020716,0.007469,0.003714,-0.031899,0.025831,Spot
24,23.476093,8.709678,4.957794,4.391484,-9.275988,12.579089,15.815489,-7.660604,1.373241,1.159922,0.108567,-2.64173,2.57811,10.756763,-12.71933,-5.058725,0.143552,0.097259,0.066512,-0.307324,0.23601,8.938745,-14.537348,-6.876743,-1.818018,0.02079,0.007697,0.004083,-0.03257,0.02362,Spot
34,30.177584,12.055963,5.408092,0.927219,-16.536835,12.683787,17.446115,-12.731468,1.703568,1.406818,0.7232,-3.833586,2.201546,10.897212,-19.280373,-6.548903,0.146012,0.105037,0.09275,-0.3438,0.194124,8.943291,-21.234293,-8.502825,-1.953921,0.020819,0.007781,0.004311,-0.032911,0.022468,Spot
41,31.38562,13.073363,7.430173,0.609537,-19.893999,10.464809,17.754812,-13.630808,1.774517,1.41668,0.770193,-3.96139,2.038917,10.942125,-20.443495,-6.812687,0.142976,0.109086,0.103832,-0.355894,0.17874,8.942329,-22.443291,-8.812483,-1.999796,0.020803,0.007724,0.004372,-0.032898,0.022667,Spot
73,26.011803,10.054018,8.328264,1.355526,-17.026756,10.229194,16.609406,-9.402397,1.481467,1.147577,0.296625,-2.92567,2.407736,10.883441,-15.128362,-5.725965,0.137995,0.106591,0.096278,-0.340863,0.210089,8.935765,-17.076038,-7.67364,-1.947676,0.020741,0.007537,0.004237,-0.032515,0.024102,Spot
14,16.757498,5.757752,3.911532,3.228722,-1.382501,8.87803,14.581901,-2.175597,1.028333,0.744771,0.376885,-1.396219,2.476041,10.728084,-6.029414,-3.853817,0.131406,0.098523,0.072231,-0.30216,0.260721,8.924139,-7.833359,-5.657762,-1.803945,0.020639,0.007252,0.00389,-0.031781,0.026325,Spot
36,24.388515,9.565141,6.579149,2.965014,-13.179276,12.769829,15.686372,-8.702144,1.358359,1.172435,0.116951,-2.647744,2.567833,10.751351,-13.637164,-4.93502,0.14401,0.091878,0.065343,-0.301231,0.233483,8.941617,-15.446898,-6.744755,-1.809734,0.020843,0.007573,0.004324,-0.03274,0.023847,Spot
48,30.073931,11.240297,6.791775,0.511173,-18.543245,13.373792,17.184732,-12.889198,1.621591,1.397849,0.675062,-3.694503,2.295527,10.890408,-19.183523,-6.294325,0.147337,0.102028,0.087194,-0.336559,0.190614,8.947906,-21.126024,-8.236826,-1.942501,0.020877,0.007742,0.004488,-0.033107,0.021826,Spot
