@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Median_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Median_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Median_4.0 numeric
@attribute Variance_4.0 numeric
@attribute class {Spot,NotSpot}

@data
5,4.410693,1.201801,0.762058,0.540838,0.551818,0.073416,0.27601,-7.164755,-27.696978,-0.980581,1.455269,2.163778,0.593076,0.707665,0.476176,1,9,5.285714,6,5.904762,3.550166,-0.860527,0.273055,0.227463,0.052005,0.009912,-0.001914,-0.00322,0.000611,0.002106,-0.448514,0.8695,0.54565,0.041283,0.186003,0.06039,1,12,4.363636,4,6.176136,2.315337,-2.095356,-1.234829,0.041543,0.036952,0.019339,-0.000489,-0.000049,0.000001,0,0,-0.097833,0.264124,0.063262,0.001451,0.03597,0.005628,0,28,3.824903,3,16.496565,Spot
1,4.178968,1.383896,0.798023,0.220717,0.096178,0.1493,-0.709917,-2.468605,17.055359,0.365156,1.498431,2.107236,0.528246,0.651435,0.469244,1,6,3.857143,4,3.142857,3.645385,-0.533583,0.275111,0.233639,0.076103,-0.017378,0.00014,-0.000537,-0.000588,0.000992,-0.432646,0.784948,0.446572,0.044401,0.168865,0.060114,1,10,4.333333,4,5.229167,2.398319,-1.780649,-1.247066,0.04299,0.037324,0.022611,-0.000817,-0.000052,0.000002,0,-0,-0.102925,0.251364,0.057985,0.001525,0.034616,0.005839,0,28,3.867704,3,14.341805,Spot
6,3.64771,1.32918,0.478579,0.332698,-0.478323,-0.261132,0.213442,6.813557,15.995233,0.517902,1.135453,1.649145,0.3079,0.558724,0.427711,1,6,3.428571,3,2.952381,3.516479,-0.131232,0.235473,0.197478,0.130688,-0.036743,0.001364,0.00233,-0.000965,-0.001518,-0.302263,0.676813,0.345165,0.037795,0.147901,0.056223,0,8,3.30303,3,3.780303,2.442595,-1.205115,-1.073883,0.042942,0.03682,0.021777,-0.001048,-0.000046,0.000003,0,-0,-0.101539,0.239535,0.053228,0.001502,0.033256,0.005857,0,28,3.715953,3,12.672909,Spot
5,3.87281,0.828354,0.617317,0.403352,0.231045,0.061157,0.89595,-3.279275,-29.970097,-0.614388,1.632449,2.085648,0.3472,0.754254,0.484829,1,7,4,4,3.666667,3.316639,-0.556171,0.22706,0.192682,0.096524,0.037497,-0.002376,-0.002896,0.001179,0.000069,-0.323218,0.901313,0.6038,0.035548,0.198952,0.059122,0,9,4.181818,4,7.278409,2.256341,-1.616469,-1.060298,0.040011,0.033666,0.017714,-0.000072,-0.000035,-0.000001,0,0,-0.09139,0.274274,0.067676,0.001378,0.036901,0.005464,0,28,3.645914,2,17.737415,Spot
7,5.224831,1.51106,0.615577,0.507393,0.633466,-0.546077,-1.536208,4.282185,62.898632,-1.619244,1.901034,2.657907,0.689305,0.800919,0.559544,2,9,6,6,5.333333,3.908433,-1.316398,0.317932,0.269627,0.003929,0.024457,-0.003909,-0.003892,0.001477,0.002387,-0.591488,0.890828,0.564731,0.05357,0.194239,0.066969,0,12,5.151515,5,9.820076,2.416659,-2.808172,-1.491774,0.042917,0.038001,0.028827,-0.000329,-0.000055,-0,0,0,-0.109745,0.259778,0.06165,0.001565,0.035747,0.005885,0,28,4.140078,3,20.245926,Spot
9,5.987697,1.868905,1.081601,0.84999,0.541389,-0.340029,-0.430626,1.322664,-25.812534,-1.637293,2.248124,2.852446,1.166533,0.792236,0.592887,3,12,6.857143,7,9.809524,4.271536,-1.716161,0.379404,0.308465,0.067381,0.000584,-0.004196,-0.002093,0.00039,0.002356,-0.75525,0.805638,0.458722,0.0665,0.180647,0.070695,1,16,5.939394,5,11.371212,2.540111,-3.447586,-1.731425,0.044958,0.04245,0.033327,-0.000595,-0.000066,0.000001,0,0,-0.120735,0.2409,0.054092,0.001697,0.033879,0.006218,0,28,4.322957,3,18.891384,Spot
4,5.713583,1.447777,1.211766,0.682463,-0.067829,0.580924,0.666565,-4.019344,-31.254793,-0.446452,2.766957,3.075397,1.078321,0.728745,0.577684,1,10,5.428571,5,11.619047,4.308625,-1.404958,0.368556,0.305233,0.03675,-0.02245,-0.003,0.001228,-0.000855,-0.000416,-0.71054,0.730078,0.360921,0.070596,0.160747,0.069715,0,22,6.181818,5,22.52841,2.621268,-3.092314,-1.687356,0.047238,0.044112,0.03228,-0.000825,-0.000066,0.000002,0,-0,-0.12363,0.222509,0.047047,0.00176,0.031793,0.006429,0,28,4.404669,3,16.038729,Spot
5,4.671238,1.944849,0.847115,0.650035,-0.486687,0.31259,-0.002727,3.66044,26.589861,0.447699,2.301643,2.695795,0.629741,0.623147,0.519466,0,8,4.142857,5,7.809524,4.060789,-0.610449,0.301084,0.257114,0.067298,-0.035003,-0.000927,0.003152,-0.000877,-0.002518,-0.490901,0.668285,0.293841,0.058369,0.137702,0.064563,0,16,4.575758,4,13.001894,2.660185,-2.011053,-1.400604,0.047853,0.043176,0.028237,-0.000976,-0.000058,0.000002,0,-0,-0.119266,0.208094,0.041679,0.001724,0.029904,0.006443,0,28,4.198443,3,13.86281,Spot
5,4.429342,1.192204,0.945451,0.38674,0.32699,-0.068437,-0.430913,2.465752,52.335808,-0.633492,1.799207,2.313653,0.700383,0.789486,0.563878,1,9,4.571429,5,9.952381,3.766683,-0.662659,0.31308,0.197226,0.08689,0.020267,0.000732,-0.002628,0.000258,0.001123,-0.423416,0.845907,0.523402,0.054754,0.189501,0.065701,1,12,4.484848,4,8.945076,2.444707,-1.984635,-1.321976,0.042669,0.036855,0.029711,-0.000367,-0.000043,-0.000001,0,0,-0.109235,0.256252,0.060135,0.001547,0.035113,0.005896,0,28,4.112841,3,20.053623,Spot
8,6.236238,1.81818,1.799797,1.093013,0.314836,-0.196424,0.372434,-8.748307,-61.957661,-2.524963,1.886313,2.725973,1.359415,0.838319,0.646083,5,12,8.285714,8,4.571429,4.387981,-1.848257,0.412799,0.298126,0.035035,0.003262,-0.00198,-0.001465,0.000187,0.001647,-0.74596,0.782601,0.435666,0.081858,0.181824,0.073909,1,12,6.181818,7,10.340909,2.607401,-3.628837,-1.78058,0.045863,0.041543,0.039097,-0.000501,-0.000062,-0,0,0,-0.126503,0.233154,0.051215,0.001725,0.033093,0.006309,0,28,4.505836,3,20.258755,Spot
12,7.325433,2.238805,1.927398,0.997165,0.015038,-0.382179,-1.381297,10.961169,41.520447,-3.169037,2.450363,2.73012,1.877867,0.831156,0.678746,3,12,8.714286,9,9.904762,4.741213,-2.58422,0.457188,0.358749,0.122412,-0.014214,-0.004752,0.000964,-0.000019,0.000022,-0.938349,0.657742,0.310091,0.099694,0.166451,0.077401,2,19,7.181818,7,15.965909,2.729336,-4.596097,-2.011877,0.050025,0.046414,0.039093,-0.000623,-0.000073,0.000001,0,-0,-0.135532,0.206976,0.041808,0.001827,0.030461,0.006616,0,28,4.715953,4,19.422909,Spot
10,7.13917,2.153458,1.324289,0.683554,-0.225623,0.217784,0.20789,2.082106,16.204609,-2.794192,3.169981,3.181339,1.683908,0.767491,0.654683,3,16,8.142858,7,22.476191,4.724059,-2.415111,0.424535,0.352084,0.101383,-0.022987,-0.005599,0.002434,-0.00003,-0.001554,-0.878003,0.613044,0.236533,0.100526,0.145814,0.075588,0,28,7.454545,6,33.13068,2.805921,-4.333249,-1.918138,0.052766,0.046823,0.036261,-0.000717,-0.000072,0.000001,0,-0,-0.135849,0.183912,0.034063,0.001866,0.027775,0.006808,0,28,4.645915,4,18.167103,Spot
5,5.726913,1.54912,1.381705,1.203626,-0.212923,0.303827,1.153301,-9.720919,-53.480644,-1.036211,2.872273,2.981577,1.046458,0.659052,0.581696,0,14,6.285714,5,20.238094,4.393271,-1.333642,0.342501,0.291747,0.026217,-0.021928,-0.003737,0.001772,0.000213,-0.000922,-0.608031,0.618164,0.223037,0.075934,0.122654,0.069173,0,19,5.969697,5,21.280304,2.838399,-2.888514,-1.554873,0.052153,0.045514,0.030996,-0.000763,-0.000061,0.000002,0,-0,-0.128664,0.168318,0.028945,0.001828,0.02549,0.00682,0,28,4.470817,4,15.468872,Spot
1,2.786631,1.128725,0.421445,0.195711,0.158015,-0.037717,-1.042926,0.301068,53.310024,1.354459,0.862559,1.253528,0.255737,0.681792,0.484531,1,5,2.142857,1,2.809524,3.282061,0.49543,0.228932,0.18688,0.07346,0.007343,0.003657,-0.001828,-0.000137,0.001108,-0.115512,0.712305,0.417965,0.03705,0.172545,0.057062,0,9,2.666667,2,4.291667,2.4017,-0.384931,-0.880361,0.039964,0.037266,0.020288,-0.000633,-0.000021,-0,-0,0,-0.097518,0.253474,0.058653,0.001381,0.034025,0.005635,0,28,3.626459,3,13.680235,Spot
1,3.972546,1.569791,0.897768,0.292953,-0.039431,0.115582,0.067395,-4.431091,-15.70991,0.964976,1.824616,2.477242,0.691933,0.770353,0.601495,1,8,3.714286,3,7.238095,3.944522,-0.028024,0.334932,0.149868,0.116893,-0.007168,0.00403,-0.000104,-0.001133,0.000898,-0.367907,0.765145,0.414493,0.066729,0.170867,0.068377,0,9,3.939394,4,8.371212,2.59597,-1.376576,-1.348552,0.044854,0.041754,0.032604,-0.000655,-0.000043,0,0,-0,-0.119212,0.23165,0.050368,0.001607,0.032334,0.006128,0,28,4.389105,3,18.683943,Spot
8,5.721109,1.681889,1.56591,1.104528,-0.380966,0.256617,1.313004,8.73502,-37.583714,-0.988549,2.392145,3.278089,1.295449,0.818113,0.684966,1,8,5.714286,7,10.571428,4.514268,-1.206841,0.415415,0.24628,0.007128,-0.021392,0.001606,0.002442,-0.001385,-0.000953,-0.668823,0.716238,0.329906,0.098735,0.161569,0.076363,0,21,5.939394,6,18.933712,2.756106,-2.965003,-1.758162,0.050761,0.044306,0.039072,-0.000635,-0.00006,0,0,-0,-0.134139,0.201403,0.03981,0.00175,0.029589,0.006494,0,28,4.840467,4,19.939293,Spot
7,6.861394,1.846415,1.59395,1.361406,-0.542551,0.212235,0.430728,-4.76367,16.28713,-2.078959,2.824883,3.593503,1.468064,0.813784,0.714504,5,12,7.857143,7,5.809524,4.815564,-2.04583,0.432108,0.322784,0.091767,-0.024232,-0.002372,0.003379,-0.000438,-0.002255,-0.84666,0.624674,0.234105,0.114612,0.146301,0.079372,1,21,7.030303,7,24.405304,2.873168,-3.988225,-1.942396,0.054735,0.045447,0.04036,-0.000588,-0.000068,0,0,-0,-0.140542,0.169297,0.029813,0.001791,0.026374,0.00674,0,28,4.922179,4,19.478294,Spot
7,6.735407,1.953028,1.136388,1.135439,-0.115409,-0.09047,-0.793701,-6.405215,13.492918,-1.953977,3.163696,3.536936,1.304792,0.756037,0.683288,2,19,7.857143,7,30.476191,4.758423,-1.976984,0.384565,0.336475,0.065833,-0.013942,-0.005097,0.001619,0.000826,-0.0009,-0.786874,0.608022,0.207044,0.092695,0.12707,0.076851,0,22,7.090909,6,26.335228,2.943663,-3.791744,-1.81476,0.05527,0.04555,0.037456,-0.000525,-0.000067,0,0,-0,-0.138275,0.142664,0.022335,0.001784,0.023267,0.006896,0,28,4.747082,4,18.642815,Spot
6,5.574799,1.811327,1.650481,1.126864,0.318914,-0.250813,-0.508614,7.040483,12.19979,-0.966018,2.504891,2.811049,0.960738,0.654281,0.601268,0,11,5.714286,6,10.571428,4.408237,-1.166563,0.314775,0.280343,0.059655,0.000449,-0.004716,-0.001043,0.001205,0.001534,-0.535463,0.611019,0.211394,0.06158,0.105889,0.069557,0,19,5.484848,5,18.257576,2.969988,-2.604811,-1.438248,0.053044,0.044319,0.0315,-0.000454,-0.000055,0,0,-0,-0.128862,0.126959,0.017984,0.001761,0.020731,0.006919,0,28,4.40856,4,15.539457,Spot
5,2.639544,0.688517,0.577961,0.2374,0.059464,-0.140488,0.445931,4.480399,-45.084072,1.029079,0.352021,0.962702,0.18656,0.623308,0.476767,1,5,2.428571,3,2.285714,3.322733,0.683189,0.216638,0.216334,0.034428,-0.015262,0.003243,-0.000554,-0.00009,0.001309,-0.034124,0.601023,0.311681,0.036586,0.150494,0.056201,0,6,2.272727,2,2.329545,2.514448,-0.125096,-0.808285,0.041206,0.039221,0.021876,-0.001003,-0.00002,0.000001,-0,-0,-0.102302,0.233413,0.050576,0.001359,0.031533,0.005683,0,28,3.750973,3,12.765868,Spot
3,3.109143,1.714123,1.029999,0.405327,-0.318631,0.040095,-0.595113,6.072874,-1.169985,2.338795,1.033027,2.09596,0.421703,0.701224,0.58828,0,5,1.571429,1,3.285714,3.862343,0.7532,0.288656,0.171939,0.080348,-0.030753,0.005,0.002636,-0.001347,-0.000497,-0.197064,0.679447,0.321705,0.060467,0.146413,0.066745,0,8,3.030303,3,5.592803,2.704394,-0.404749,-1.157949,0.047753,0.042102,0.031001,-0.000907,-0.000036,0.000001,0,-0,-0.120856,0.206215,0.040952,0.001549,0.029172,0.006112,0,28,4.322957,3,16.235134,Spot
1,4.09711,2.039313,0.7209,0.668097,-0.644152,0.380213,-0.836026,-6.43557,62.747852,1.986511,2.10353,3.172457,0.747249,0.743544,0.667027,0,8,3.571429,3,8.285714,4.30908,0.21197,0.339008,0.141379,0.077901,-0.035392,0.004319,0.004624,-0.001701,-0.002354,-0.402486,0.700276,0.289705,0.081863,0.136747,0.074002,0,10,3.818182,3,9.778409,2.858272,-1.238838,-1.450808,0.052895,0.043294,0.036354,-0.000731,-0.000048,0.000001,0,-0,-0.132543,0.171437,0.030057,0.001639,0.025897,0.006389,0,28,4.684825,3,18.622932,Spot
6,4.915835,2.041585,1.009956,0.1512,-0.579381,0.224953,1.882318,-5.544387,-52.079624,0.880428,2.532531,3.635963,0.868705,0.740894,0.692672,1,8,4.714286,6,7.904762,4.523378,-0.392457,0.345446,0.195527,0.020114,-0.021815,0.001385,0.003198,-0.000674,-0.001769,-0.520859,0.685404,0.259205,0.082723,0.123053,0.076415,0,19,4.878788,4,19.484848,2.968466,-1.94737,-1.554913,0.054927,0.042235,0.038874,-0.000513,-0.000053,-0,0,-0,-0.136036,0.135697,0.020528,0.001589,0.022311,0.006528,0,28,4.902724,4,20.049093,Spot
4,4.894059,2.129793,0.712608,0.520377,0.089113,-0.24803,0.479536,11.423883,-16.964104,0.896807,2.399016,3.318468,0.757149,0.693215,0.657397,0,7,3.285714,2,6.238095,4.441738,-0.452321,0.302359,0.216703,0.050205,0.002957,-0.001749,-0.000515,0.000704,0.000768,-0.468857,0.674114,0.253634,0.062416,0.106795,0.073504,0,19,4.969697,5,14.530303,3.032696,-1.861362,-1.409042,0.05396,0.040744,0.036831,-0.000294,-0.00005,-0.000001,0,-0,-0.131534,0.10682,0.013931,0.001484,0.018979,0.00662,0,28,4.642024,3,18.613539,Spot
0,3.071078,1.783194,0.960493,0.166876,-0.466782,0.3083,-0.535123,-1.650859,6.700842,2.576812,0.720143,1.908486,0.343905,0.632027,0.595224,0,3,1.285714,1,1.571429,3.93091,0.859833,0.244057,0.190779,0.065311,-0.031978,0.004286,0.003535,-0.000787,-0.001385,-0.118589,0.61583,0.247072,0.050932,0.110589,0.067428,0,14,3.333333,3,9.729167,2.915438,-0.15564,-1.015472,0.051359,0.040899,0.031169,-0.00079,-0.00003,0.000001,-0,-0,-0.123426,0.148718,0.023212,0.001454,0.022606,0.006009,0,28,4.350194,3,16.009697,Spot
1,3.408551,1.938659,0.532751,0.267226,-0.170581,0.253351,-1.058618,4.956788,32.091827,2.204184,1.064365,2.206098,0.393587,0.626543,0.619566,0,6,1.714286,1,4.238095,4.050274,0.641723,0.251743,0.173763,0.08633,-0.00817,0.003555,0.001073,-0.000491,0.00031,-0.16431,0.638012,0.251617,0.04948,0.099103,0.06927,0,8,3.515152,3,5.445076,3.018216,-0.390335,-1.032058,0.052078,0.03905,0.033008,-0.000426,-0.000031,-0.000001,0,-0,-0.124136,0.112569,0.014731,0.001345,0.018855,0.005973,0,28,4.51751,3,17.664732,Spot
2,3.398277,1.091662,1.011755,0.037488,0.452072,0.577233,-1.085894,-9.87842,20.085718,-0.117395,2.033874,2.422413,0.580225,0.538553,0.391295,1,14,4.285714,2,20.904762,2.885158,-0.513119,0.227909,0.13035,0.030949,0.025347,0.000345,-0.002526,-0.001505,0.001451,-0.32731,0.834411,0.481769,0.034064,0.145436,0.051739,0,20,3.393939,2,17.871212,2.130793,-1.267485,-0.754365,0.037002,0.033215,0.025618,0.00062,-0.000034,-0.000001,0,0,-0.0446,0.19972,0.035469,0.001151,0.020615,0.006052,0,26,3.027237,2,14.003161,Spot
