@relation segment

@attribute original numeric
@attribute Gaussian_blur_8.0 numeric
@attribute class {nucleus,background}

@data
1,2.032106,nucleus
2,2.031446,nucleus
2,2.021897,nucleus
1,2.007511,nucleus
2,1.991499,nucleus
1,1.976133,nucleus
1,1.963301,nucleus
2,1.954981,nucleus
2,1.953131,nucleus
2,1.959051,nucleus
2,1.972673,nucleus
2,1.992311,nucleus
3,2.015092,nucleus
1,2.037962,nucleus
3,2.058835,nucleus
2,2.077375,nucleus
3,2.094983,nucleus
1,2.113884,nucleus
2,2.135603,nucleus
2,2.159572,nucleus
2,2.182634,nucleus
3,2.199908,nucleus
2,2.206734,nucleus
2,2.200726,nucleus
1,2.182853,nucleus
2,2.156925,nucleus
2,2.127781,nucleus
1,2.099129,nucleus
2,2.07217,nucleus
3,2.021812,nucleus
3,2.044636,nucleus
1,2.053532,nucleus
3,2.050119,nucleus
2,2.038067,nucleus
1,2.021267,nucleus
1,2.002802,nucleus
2,1.984979,nucleus
3,1.969912,nucleus
3,1.959915,nucleus
2,1.957262,nucleus
2,1.963431,nucleus
1,1.978357,nucleus
2,2.000195,nucleus
2,2.025813,nucleus
2,2.051859,nucleus
3,2.075945,nucleus
2,2.097451,nucleus
3,2.1175,nucleus
2,2.138057,nucleus
1,2.160437,nucleus
2,2.183926,nucleus
1,2.205345,nucleus
2,2.219938,nucleus
2,2.223351,nucleus
3,2.213673,nucleus
3,2.192434,nucleus
3,2.16397,nucleus
2,2.133451,nucleus
1,2.10465,nucleus
2,2.078569,nucleus
3,2.053573,nucleus
3,2.044385,nucleus
3,2.064823,nucleus
3,2.071818,nucleus
2,2.067168,nucleus
2,2.054375,nucleus
2,2.036961,nucleus
4,2.017694,nucleus
2,1.998815,nucleus
2,1.982655,nucleus
1,1.971888,nucleus
1,1.96908,nucleus
1,1.975795,nucleus
1,1.991836,nucleus
1,2.015142,nucleus
2,2.042414,nucleus
3,2.070248,nucleus
2,2.096253,nucleus
1,2.11973,nucleus
2,2.141536,nucleus
2,2.163202,nucleus
2,2.185558,nucleus
2,2.207557,nucleus
2,2.225991,nucleus
4,2.236431,nucleus
2,2.235154,nucleus
5,2.221006,nucleus
2,2.196219,nucleus
2,2.165597,nucleus
1,2.13448,nucleus
2,2.106546,nucleus
2,2.082545,nucleus
4,2.0605,nucleus
3,2.027765,nucleus
2,2.058361,nucleus
1,2.077326,nucleus
1,2.08365,nucleus
3,2.079294,nucleus
2,2.06755,nucleus
2,2.051505,nucleus
1,2.033526,nucleus
3,2.015693,nucleus
2,2.000444,nucleus
2,1.990669,nucleus
2,1.989044,nucleus
3,1.99702,nucleus
2,2.014139,nucleus
2,2.038117,nucleus
2,2.065652,nucleus
2,2.093569,nucleus
1,2.119765,nucleus
3,2.143636,nucleus
2,2.165793,nucleus
1,2.187199,nucleus
2,2.20805,nucleus
4,2.226898,nucleus
3,2.240603,nucleus
2,2.245312,nucleus
2,2.238215,nucleus
3,2.219115,nucleus
2,2.190951,nucleus
3,2.158828,nucleus
2,2.128012,nucleus
3,2.1019,nucleus
2,2.080934,nucleus
2,2.062876,nucleus
2,2.044136,nucleus
2,1.996449,nucleus
2,2.032942,nucleus
2,2.062284,nucleus
3,2.080502,nucleus
2,2.087031,nucleus
2,2.084029,nucleus
3,2.074658,nucleus
2,2.06166,nucleus
4,2.047029,nucleus
1,2.032601,nucleus
2,2.0207,nucleus
1,2.01412,nucleus
1,2.015314,nucleus
3,2.025365,nucleus
2,2.043456,nucleus
2,2.067173,nucleus
2,2.093454,nucleus
2,2.119646,nucleus
1,2.144183,nucleus
2,2.166686,nucleus
2,2.187511,nucleus
3,2.207003,nucleus
3,2.22468,nucleus
2,2.238744,nucleus
1,2.246283,nucleus
3,2.24424,nucleus
4,2.230895,nucleus
2,2.20706,nucleus
1,2.17626,nucleus
2,2.143644,nucleus
2,2.114114,nucleus
3,2.090585,nucleus
2,2.07315,nucleus
2,2.059398,nucleus
2,2.045606,nucleus
2,2.028229,nucleus
2,1.994004,nucleus
2,2.029302,nucleus
2,2.057663,nucleus
2,2.075482,nucleus
2,2.082566,nucleus
2,2.081312,nucleus
3,2.074917,nucleus
1,2.065975,nucleus
3,2.056222,nucleus
2,2.047176,nucleus
3,2.04078,nucleus
2,2.039328,nucleus
2,2.04465,nucleus
2,2.057211,nucleus
2,2.075814,nucleus
2,2.098105,nucleus
2,2.121562,nucleus
4,2.144347,nucleus
2,2.165614,nucleus
3,2.185277,nucleus
3,2.203438,nucleus
3,2.219802,nucleus
2,2.233248,nucleus
2,2.241733,nucleus
3,2.24271,nucleus
3,2.234026,nucleus
3,2.21508,nucleus
3,2.187594,nucleus
2,2.155459,nucleus
2,2.123596,nucleus
2,2.096291,nucleus
2,2.075817,nucleus
1,2.061868,nucleus
3,2.051948,nucleus
2,2.042398,nucleus
3,2.029646,nucleus
2,1.952553,nucleus
2,1.987179,nucleus
2,2.021145,nucleus
4,2.048543,nucleus
2,2.065984,nucleus
1,2.073553,nucleus
2,2.073905,nucleus
2,2.070421,nucleus
2,2.065748,nucleus
2,2.061503,nucleus
2,2.058857,nucleus
2,2.059143,nucleus
2,2.063797,nucleus
1,2.073694,nucleus
1,2.088514,nucleus
2,2.106731,nucleus
2,2.126289,nucleus
3,2.145503,nucleus
2,2.163582,nucleus
2,2.180527,nucleus
2,2.196562,nucleus
1,2.211523,nucleus
2,2.224496,nucleus
2,2.23378,nucleus
2,2.237172,nucleus
3,2.232535,nucleus
1,2.218589,nucleus
2,2.195721,nucleus
1,2.166343,nucleus
2,2.134481,nucleus
2,2.104616,nucleus
2,2.080271,nucleus
3,2.062984,nucleus
1,2.052028,nucleus
1,2.044874,nucleus
2,2.038101,nucleus
2,2.028402,nucleus
2,2.01345,nucleus
1,1.948755,nucleus
2,1.981458,nucleus
3,2.013899,nucleus
2,2.040234,nucleus
2,2.057197,nucleus
2,2.065039,nucleus
1,2.066633,nucleus
2,2.065581,nucleus
2,2.064699,nucleus
3,2.06559,nucleus
2,2.069112,nucleus
2,2.075895,nucleus
1,2.086355,nucleus
2,2.100264,nucleus
3,2.116472,nucleus
3,2.133224,nucleus
3,2.148949,nucleus
3,2.162985,nucleus
2,2.175715,nucleus
2,2.188012,nucleus
4,2.200404,nucleus
2,2.212459,nucleus
2,2.22269,nucleus
4,2.228892,nucleus
1,2.228735,nucleus
2,2.220447,nucleus
3,2.203455,nucleus
2,2.178891,nucleus
1,2.149601,nucleus
1,2.11954,nucleus
2,2.092648,nucleus
1,2.071663,nucleus
2,2.057397,nucleus
2,2.048701,nucleus
1,2.043037,nucleus
2,2.037329,nucleus
3,2.028782,nucleus
1,2.015516,nucleus
2,1.926239,nucleus
1,1.950993,nucleus
3,1.981706,nucleus
1,2.012547,nucleus
2,2.037782,nucleus
4,2.054241,nucleus
2,2.062261,nucleus
2,2.064808,nucleus
2,2.065613,nucleus
2,2.067626,nucleus
3,2.072485,nucleus
2,2.080822,nucleus
2,2.092675,nucleus
3,2.107538,nucleus
2,2.124173,nucleus
3,2.1407,nucleus
2,2.155217,nucleus
3,2.16668,nucleus
2,2.175439,nucleus
2,2.182978,nucleus
2,2.190967,nucleus
3,2.200203,nucleus
2,2.210035,nucleus
5,2.218507,nucleus
2,2.223021,nucleus
2,2.221153,nucleus
2,2.21139,nucleus
2,2.193646,nucleus
3,2.169501,nucleus
2,2.14198,nucleus
2,2.114822,nucleus
2,2.091418,nucleus
1,2.073809,nucleus
3,2.062171,nucleus
2,2.054978,nucleus
1,2.049693,nucleus
2,2.043625,nucleus
1,2.034626,nucleus
2,2.021485,nucleus
1,2.004095,nucleus
1,1.938923,nucleus
3,1.961967,nucleus
2,1.991,nucleus
2,2.02039,nucleus
2,2.044635,nucleus
2,2.060727,nucleus
3,2.069041,nucleus
1,2.07248,nucleus
2,2.074703,nucleus
1,2.078641,nucleus
2,2.085939,nucleus
1,2.097135,nucleus
2,2.111943,nucleus
2,2.129275,nucleus
3,2.147199,nucleus
2,2.163299,nucleus
2,2.175551,nucleus
2,2.18329,nucleus
2,2.187614,nucleus
2,2.190829,nucleus
2,2.19521,nucleus
1,2.201787,nucleus
2,2.209806,nucleus
1,2.21706,nucleus
2,2.22075,nucleus
3,2.218444,nucleus
1,2.208808,nucleus
4,2.192012,nucleus
1,2.169793,nucleus
2,2.145109,nucleus
2,2.121379,nucleus
3,2.101484,nucleus
3,2.086903,nucleus
2,2.077325,nucleus
2,2.070948,nucleus
3,2.06527,nucleus
3,2.058002,nucleus
3,2.047664,nucleus
1,2.033778,nucleus
2,2.016743,nucleus
2,1.959849,nucleus
1,1.982196,nucleus
1,2.010159,nucleus
2,2.038416,nucleus
1,2.061869,nucleus
2,2.077811,nucleus
1,2.086662,nucleus
1,2.091125,nucleus
1,2.094558,nucleus
1,2.09966,nucleus
2,2.108003,nucleus
2,2.120163,nucleus
2,2.135867,nucleus
3,2.1539,nucleus
3,2.17206,nucleus
2,2.187628,nucleus
2,2.198413,nucleus
2,2.203821,nucleus
1,2.205232,nucleus
2,2.205337,nucleus
2,2.206747,nucleus
3,2.210703,nucleus
1,2.216559,nucleus
1,2.222182,nucleus
2,2.224892,nucleus
1,2.222418,nucleus
3,2.213581,nucleus
2,2.198605,nucleus
2,2.179107,nucleus
2,2.157739,nucleus
4,2.137478,nucleus
2,2.120723,nucleus
1,2.108527,nucleus
1,2.100276,nucleus
3,2.094051,nucleus
3,2.087497,nucleus
2,2.078757,nucleus
1,2.066989,nucleus
1,2.052346,nucleus
3,2.035617,nucleus
2,1.987613,nucleus
2,2.010422,nucleus
2,2.037982,nucleus
3,2.065395,nucleus
3,2.088169,nucleus
2,2.104071,nucleus
2,2.113632,nucleus
3,2.119277,nucleus
4,2.123881,nucleus
3,2.129717,nucleus
2,2.138187,nucleus
2,2.149995,nucleus
1,2.165169,nucleus
2,2.182783,nucleus
3,2.200754,nucleus
1,2.21627,nucleus
2,2.226881,nucleus
3,2.231689,nucleus
2,2.231836,nucleus
1,2.229908,nucleus
1,2.228579,nucleus
2,2.229321,nucleus
2,2.23187,nucleus
3,2.234581,nucleus
1,2.235273,nucleus
4,2.232074,nucleus
1,2.223974,nucleus
3,2.211083,nucleus
1,2.194635,nucleus
2,2.176722,nucleus
3,2.159729,nucleus
1,2.145557,nucleus
2,2.134937,nucleus
2,2.127136,nucleus
2,2.120342,nucleus
2,2.112542,nucleus
2,2.10241,nucleus
2,2.089691,nucleus
2,2.074984,nucleus
3,2.059192,nucleus
2,2.002381,nucleus
2,2.020146,nucleus
2,2.044379,nucleus
2,2.071981,nucleus
3,2.098595,nucleus
2,2.120539,nucleus
2,2.13624,nucleus
3,2.146435,nucleus
2,2.153257,nucleus
2,2.159006,nucleus
1,2.165403,nucleus
4,2.173606,nucleus
2,2.184471,nucleus
1,2.19849,nucleus
1,2.215278,nucleus
2,2.233133,nucleus
3,2.249274,nucleus
3,2.260905,nucleus
2,2.266515,nucleus
2,2.266577,nucleus
2,2.263186,nucleus
1,2.258878,nucleus
2,2.25541,nucleus
3,2.253179,nucleus
3,2.251419,nucleus
3,2.248808,nucleus
2,2.244083,nucleus
3,2.236424,nucleus
3,2.225677,nucleus
2,2.212455,nucleus
2,2.198066,nucleus
2,2.184142,nucleus
2,2.172036,nucleus
2,2.162209,nucleus
2,2.153976,nucleus
2,2.145875,nucleus
3,2.136478,nucleus
2,2.125152,nucleus
2,2.112206,nucleus
2,2.098464,nucleus
2,2.084597,nucleus
2,2.070737,nucleus
2,2.033635,nucleus
1,2.055247,nucleus
2,2.081441,nucleus
3,2.109138,nucleus
2,2.134664,nucleus
3,2.155331,nucleus
3,2.17038,nucleus
1,2.180843,nucleus
2,2.188594,nucleus
2,2.195334,nucleus
3,2.202198,nucleus
3,2.210054,nucleus
1,2.219889,nucleus
3,2.232677,nucleus
2,2.248646,nucleus
2,2.266555,nucleus
2,2.283704,nucleus
2,2.296911,nucleus
3,2.303899,nucleus
2,2.30426,nucleus
3,2.299394,nucleus
3,2.29161,nucleus
2,2.283015,nucleus
3,2.274868,nucleus
4,2.267533,nucleus
2,2.260766,nucleus
3,2.254019,nucleus
4,2.246651,nucleus
3,2.238137,nucleus
1,2.22832,nucleus
2,2.21757,nucleus
2,2.206665,nucleus
2,2.196348,nucleus
2,2.18683,nucleus
2,2.177574,nucleus
3,2.167649,nucleus
3,2.156439,nucleus
3,2.144153,nucleus
3,2.131676,nucleus
3,2.119865,nucleus
2,2.108839,nucleus
1,2.097765,nucleus
2,2.06461,nucleus
1,2.090585,nucleus
2,2.118796,nucleus
2,2.146281,nucleus
2,2.170203,nucleus
2,2.189004,nucleus
2,2.202832,nucleus
2,2.213071,nucleus
2,2.221357,nucleus
1,2.22882,nucleus
3,2.236019,nucleus
3,2.243514,nucleus
3,2.252374,nucleus
3,2.263977,nucleus
2,2.279094,nucleus
2,2.296909,nucleus
2,2.314817,nucleus
3,2.329284,nucleus
4,2.337312,nucleus
3,2.337615,nucleus
2,2.330906,nucleus
3,2.319259,nucleus
3,2.305159,nucleus
3,2.290761,nucleus
1,2.277605,nucleus
1,2.266539,nucleus
1,2.257724,nucleus
2,2.250669,nucleus
1,2.244456,nucleus
3,2.238142,nucleus
2,2.231163,nucleus
3,2.223424,nucleus
3,2.215037,nucleus
2,2.20593,nucleus
2,2.195709,nucleus
2,2.184027,nucleus
3,2.17117,nucleus
1,2.158279,nucleus
1,2.14681,nucleus
1,2.137545,nucleus
3,2.129839,nucleus
2,2.121682,nucleus
1,2.093023,nucleus
3,2.123301,nucleus
3,2.153175,nucleus
2,2.179961,nucleus
2,2.201785,nucleus
3,2.218281,nucleus
2,2.230519,nucleus
3,2.240218,nucleus
3,2.248786,nucleus
2,2.256791,nucleus
3,2.264232,nucleus
2,2.271343,nucleus
2,2.279204,nucleus
2,2.289485,nucleus
4,2.303383,nucleus
4,2.320451,nucleus
1,2.338209,nucleus
2,2.352911,nucleus
3,2.361019,nucleus
3,2.360558,nucleus
2,2.351655,nucleus
3,2.336167,nucleus
3,2.316872,nucleus
2,2.29669,nucleus
3,2.278174,nucleus
2,2.263132,nucleus
1,2.252363,nucleus
2,2.245548,nucleus
2,2.241468,nucleus
2,2.238543,nucleus
3,2.235412,nucleus
3,2.231203,nucleus
2,2.225399,nucleus
2,2.217563,nucleus
2,2.20732,nucleus
2,2.194782,nucleus
2,2.181048,nucleus
2,2.168138,nucleus
2,2.158054,nucleus
2,2.151476,nucleus
2,2.146971,nucleus
2,2.141335,nucleus
2,2.11579,nucleus
2,2.149735,nucleus
3,2.180634,nucleus
1,2.206259,nucleus
2,2.22577,nucleus
1,2.239959,nucleus
3,2.250729,nucleus
1,2.260066,nucleus
2,2.269109,nucleus
1,2.277857,nucleus
2,2.285723,nucleus
4,2.292566,nucleus
1,2.29938,nucleus
1,2.30802,nucleus
2,2.320027,nucleus
3,2.33532,nucleus
2,2.351662,nucleus
3,2.365313,nucleus
3,2.37247,nucleus
1,2.370691,nucleus
3,2.35961,nucleus
2,2.340804,nucleus
2,2.317142,nucleus
3,2.29204,nucleus
1,2.268812,nucleus
2,2.25006,nucleus
4,2.237197,nucleus
2,2.230178,nucleus
2,2.227703,nucleus
3,2.227805,nucleus
3,2.228555,nucleus
3,2.228436,nucleus
2,2.226312,nucleus
2,2.22127,nucleus
2,2.212732,nucleus
4,2.201,nucleus
2,2.187726,nucleus
2,2.175618,nucleus
2,2.167153,nucleus
2,2.162965,nucleus
4,2.160996,nucleus
2,2.157053,nucleus
2,2.129369,nucleus
3,2.165802,nucleus
4,2.196903,nucleus
2,2.221059,nucleus
4,2.238449,nucleus
2,2.250883,nucleus
3,2.26092,nucleus
2,2.270691,nucleus
4,2.281004,nucleus
2,2.291252,nucleus
3,2.300211,nucleus
2,2.307261,nucleus
2,2.313193,nucleus
2,2.319952,nucleus
2,2.329399,nucleus
2,2.34191,nucleus
2,2.355701,nucleus
3,2.367321,nucleus
3,2.37297,nucleus
2,2.369898,nucleus
3,2.357229,nucleus
2,2.336063,nucleus
2,2.309068,nucleus
2,2.27985,nucleus
2,2.252267,nucleus
2,2.229654,nucleus
2,2.214115,nucleus
4,2.20609,nucleus
2,2.204455,nucleus
2,2.207113,nucleus
2,2.211763,nucleus
2,2.216355,nucleus
2,2.219142,nucleus
2,2.218622,nucleus
3,2.213785,nucleus
3,2.204801,nucleus
2,2.193521,nucleus
1,2.183068,nucleus
2,2.176279,nucleus
2,2.173853,nucleus
2,2.173394,nucleus
3,2.170101,nucleus
3,2.130725,nucleus
2,2.168018,nucleus
3,2.19839,nucleus
2,2.220942,nucleus
2,2.236767,nucleus
2,2.248449,nucleus
3,2.258964,nucleus
2,2.270427,nucleus
3,2.283258,nucleus
2,2.296219,nucleus
2,2.307387,nucleus
3,2.315556,nucleus
3,2.32118,nucleus
2,2.326198,nucleus
3,2.332815,nucleus
2,2.342012,nucleus
1,2.35272,nucleus
3,2.362073,nucleus
3,2.366486,nucleus
4,2.362931,nucleus
2,2.349869,nucleus
2,2.327626,nucleus
3,2.298343,nucleus
3,2.265581,nucleus
2,2.233663,nucleus
3,2.20673,nucleus
3,2.187769,nucleus
3,2.177933,nucleus
3,2.176471,nucleus
2,2.181302,nucleus
3,2.189836,nucleus
2,2.199536,nucleus
2,2.208056,nucleus
2,2.213259,nucleus
3,2.213571,nucleus
3,2.208778,nucleus
2,2.200611,nucleus
1,2.192313,nucleus
1,2.186951,nucleus
2,2.185393,nucleus
2,2.185253,nucleus
1,2.181565,nucleus
2,2.11846,nucleus
4,2.154726,nucleus
3,2.183418,nucleus
2,2.204372,nucleus
3,2.21939,nucleus
2,2.231515,nucleus
2,2.243853,nucleus
2,2.258343,nucleus
2,2.274981,nucleus
2,2.291925,nucleus
3,2.306553,nucleus
2,2.317001,nucleus
2,2.32327,nucleus
2,2.327207,nucleus
2,2.331363,nucleus
2,2.337468,nucleus
4,2.34541,nucleus
2,2.353144,nucleus
2,2.357426,nucleus
2,2.354888,nucleus
2,2.343085,nucleus
2,2.321258,nucleus
2,2.290764,nucleus
2,2.255009,nucleus
3,2.218837,nucleus
1,2.187373,nucleus
2,2.16469,nucleus
1,2.152784,nucleus
2,2.151326,nucleus
2,2.158203,nucleus
3,2.170475,nucleus
2,2.185098,nucleus
2,2.199178,nucleus
2,2.210037,nucleus
2,2.215586,nucleus
2,2.215162,nucleus
3,2.210186,nucleus
1,2.203783,nucleus
4,2.199112,nucleus
3,2.197284,nucleus
1,2.196211,nucleus
2,2.191191,nucleus
2,2.093454,nucleus
2,2.12684,nucleus
1,2.153029,nucleus
2,2.172512,nucleus
2,2.187524,nucleus
3,2.201205,nucleus
2,2.216485,nucleus
2,2.234977,nucleus
2,2.256266,nucleus
2,2.27801,nucleus
2,2.296994,nucleus
4,2.310733,nucleus
2,2.318721,nucleus
2,2.322623,nucleus
2,2.325292,nucleus
3,2.329258,nucleus
2,2.335491,nucleus
3,2.342902,nucleus
1,2.348628,nucleus
2,2.348872,nucleus
1,2.340087,nucleus
3,2.320224,nucleus
1,2.289732,nucleus
2,2.251878,nucleus
3,2.21216,nucleus
1,2.176841,nucleus
1,2.151166,nucleus
2,2.137946,nucleus
1,2.137093,nucleus
1,2.146238,nucleus
2,2.161895,nucleus
2,2.180457,nucleus
2,2.198607,nucleus
1,2.213385,nucleus
3,2.222465,nucleus
2,2.22491,nucleus
2,2.221822,nucleus
2,2.216078,nucleus
2,2.210795,nucleus
2,2.207333,nucleus
2,2.204091,nucleus
3,2.196953,nucleus
2,2.058802,nucleus
2,2.087812,nucleus
2,2.110975,nucleus
3,2.129277,nucleus
2,2.14505,nucleus
2,2.161153,nucleus
3,2.180039,nucleus
1,2.202865,nucleus
3,2.228858,nucleus
3,2.255376,nucleus
3,2.278847,nucleus
3,2.296331,nucleus
3,2.306868,nucleus
2,2.311868,nucleus
1,2.314361,nucleus
3,2.317569,nucleus
2,2.323497,nucleus
3,2.332002,nucleus
1,2.340596,nucleus
2,2.345028,nucleus
3,2.340617,nucleus
3,2.324022,nucleus
1,2.294841,nucleus
2,2.256307,nucleus
2,2.21466,nucleus
2,2.177335,nucleus
2,2.150645,nucleus
1,2.137964,nucleus
1,2.139109,nucleus
3,2.151084,nucleus
2,2.169597,nucleus
2,2.190418,nucleus
2,2.209996,nucleus
2,2.225488,nucleus
2,2.23481,nucleus
3,2.237127,nucleus
3,2.233408,nucleus
2,2.226263,nucleus
1,2.218656,nucleus
2,2.212124,nucleus
3,2.205625,nucleus
3,2.195808,nucleus
2,2.042907,nucleus
2,2.062964,nucleus
2,2.080589,nucleus
2,2.097859,nucleus
3,2.116981,nucleus
1,2.139659,nucleus
3,2.166477,nucleus
2,2.196397,nucleus
3,2.22673,nucleus
2,2.253893,nucleus
2,2.274798,nucleus
3,2.288183,nucleus
3,2.295174,nucleus
2,2.298776,nucleus
3,2.302632,nucleus
2,2.309526,nucleus
2,2.320108,nucleus
4,2.332231,nucleus
3,2.341296,nucleus
3,2.341694,nucleus
3,2.329046,nucleus
4,2.302321,nucleus
2,2.26484,nucleus
3,2.223584,nucleus
1,2.186983,nucleus
2,2.162123,nucleus
2,2.152548,nucleus
1,2.157543,nucleus
2,2.173105,nucleus
2,2.193882,nucleus
1,2.214984,nucleus
1,2.232845,nucleus
3,2.245182,nucleus
3,2.250708,nucleus
3,2.249193,nucleus
3,2.241778,nucleus
3,2.230886,nucleus
1,2.219247,nucleus
2,2.208468,nucleus
3,2.198014,nucleus
3,1.998113,nucleus
1,2.015448,nucleus
1,2.033105,nucleus
2,2.052583,nucleus
3,2.075115,nucleus
2,2.10142,nucleus
1,2.13142,nucleus
1,2.163895,nucleus
2,2.196388,nucleus
3,2.225694,nucleus
3,2.248969,nucleus
2,2.264904,nucleus
2,2.274343,nucleus
2,2.280036,nucleus
4,2.285644,nucleus
2,2.294307,nucleus
2,2.307182,nucleus
1,2.322428,nucleus
3,2.335331,nucleus
4,2.339788,nucleus
3,2.330852,nucleus
3,2.307209,nucleus
2,2.272378,nucleus
3,2.233922,nucleus
2,2.200923,nucleus
2,2.180793,nucleus
3,2.176799,nucleus
3,2.18732,nucleus
2,2.207072,nucleus
2,2.229502,nucleus
2,2.249076,nucleus
1,2.262414,nucleus
3,2.268164,nucleus
2,2.266302,nucleus
2,2.257662,nucleus
3,2.243883,nucleus
2,2.227335,nucleus
2,2.210495,nucleus
2,2.194921,nucleus
1,2.18047,nucleus
3,1.958978,nucleus
1,1.974315,nucleus
2,1.992792,nucleus
2,2.015092,nucleus
2,2.041256,nucleus
2,2.070844,nucleus
2,2.103045,nucleus
1,2.136527,nucleus
2,2.16928,nucleus
2,2.198845,nucleus
2,2.22302,nucleus
2,2.240738,nucleus
2,2.25263,nucleus
3,2.260958,nucleus
2,2.268963,nucleus
2,2.279639,nucleus
1,2.294283,nucleus
3,2.311319,nucleus
3,2.326227,nucleus
2,2.332978,nucleus
3,2.326648,nucleus
2,2.306036,nucleus
3,2.274907,nucleus
2,2.241128,nucleus
3,2.213952,nucleus
2,2.20061,nucleus
3,2.203704,nucleus
2,2.220505,nucleus
3,2.244404,nucleus
4,2.267722,nucleus
4,2.284405,nucleus
2,2.291418,nucleus
2,2.288532,nucleus
2,2.277212,nucleus
2,2.259593,nucleus
3,2.238028,nucleus
2,2.214974,nucleus
3,2.192683,nucleus
2,2.172608,nucleus
2,2.154858,nucleus
3,1.92956,nucleus
2,1.943733,nucleus
1,1.963672,nucleus
1,1.989162,nucleus
2,2.018972,nucleus
3,2.051442,nucleus
2,2.08498,nucleus
1,2.118154,nucleus
2,2.149537,nucleus
2,2.177655,nucleus
3,2.201266,nucleus
2,2.219816,nucleus
2,2.23381,nucleus
2,2.244882,nucleus
2,2.255464,nucleus
1,2.267935,nucleus
1,2.28338,nucleus
1,2.300427,nucleus
2,2.315063,nucleus
3,2.321898,nucleus
2,2.316621,nucleus
2,2.298497,nucleus
4,2.271508,nucleus
2,2.243449,nucleus
1,2.223191,nucleus
2,2.217286,nucleus
2,2.227417,nucleus
2,2.249774,nucleus
3,2.2767,nucleus
2,2.299736,nucleus
3,2.312596,nucleus
2,2.312721,nucleus
3,2.300973,nucleus
3,2.280201,nucleus
3,2.253744,nucleus
2,2.224654,nucleus
2,2.195542,nucleus
3,2.168517,nucleus
2,2.144953,nucleus
3,2.125124,nucleus
1,1.92547,nucleus
1,1.947135,nucleus
3,1.975748,nucleus
1,2.00892,nucleus
3,2.043834,nucleus
1,2.078115,nucleus
3,2.110201,nucleus
3,2.13924,nucleus
3,2.164824,nucleus
2,2.18682,nucleus
1,2.205365,nucleus
3,2.220948,nucleus
3,2.234513,nucleus
2,2.247464,nucleus
2,2.261232,nucleus
2,2.276418,nucleus
2,2.291809,nucleus
2,2.304137,nucleus
2,2.309113,nucleus
3,2.303503,nucleus
2,2.287274,nucleus
3,2.264513,nucleus
1,2.242499,nucleus
2,2.229153,nucleus
2,2.229917,nucleus
2,2.245433,nucleus
