@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Hessian_largest_8.0_true numeric
@attribute Hessian_middle_8.0_true numeric
@attribute Hessian_smallest_8.0_true numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute Laplacian_8.0 numeric
@attribute Edges_8.0 numeric
@attribute Structure_largest_8.0_1.0 numeric
@attribute Structure_smallest_8.0_1.0 numeric
@attribute Structure_largest_8.0_3.0 numeric
@attribute Structure_smallest_8.0_3.0 numeric
@attribute class {Spot,NotSpot}

@data
65,28.833569,12.014087,10.902753,0.996193,-1.126369,-2.24537,2.675832,52.036808,25.237455,-21.920647,10.44128,41.767754,28.142277,8.40632,6.873685,16.765051,-12.068518,1.32174,1.269063,0.443207,-0.037642,-0.028773,0.004127,0.005392,-0.004047,-3.034009,1.831749,1.887466,0.826339,0.505768,0.484915,11.964494,-16.869076,-4.800557,0.08224,0.076774,0.060309,-0.00009,-0.000197,0.000001,0.000001,-0,-0.219323,0.103167,0.013915,0.004914,0.048218,0.01417,10.489636,-18.343933,-6.275414,-1.474857,0.026925,0.007103,0.003287,0.000088,-0,-0,0,0,-0.037315,0.030231,0.000913,0.000469,0.00277,0.000701,Spot
21,22.760509,8.213813,5.608576,4.331334,2.667604,0.341484,-9.306978,-25.980949,40.525982,-6.936571,11.98019,52.776638,22.099682,8.189028,6.636645,16.161192,-6.599318,1.138683,0.980507,0.240734,0.045999,-0.013853,-0.009999,-0.000012,0.009953,-2.359923,2.096637,2.30303,0.684639,0.489273,0.47714,12.004031,-10.756478,-4.157161,0.086365,0.074735,0.052408,0.000349,-0.000182,-0.000001,0.000001,0,-0.213508,0.063975,0.009061,0.004807,0.0472,0.01366,10.517471,-12.243038,-5.643721,-1.48656,0.026733,0.007256,0.0042,0.000069,0,-0,0,0,-0.038189,0.027798,0.000841,0.000403,0.002755,0.000608,Spot
10,14.918616,4.437746,2.719599,1.47464,-1.833427,1.405138,-0.056352,-19.907536,-20.145933,0.243506,5.73875,21.406172,5.702708,6.069646,4.841669,13.837004,-1.081613,0.730086,0.589158,0.440469,-0.148322,-0.003805,0.014612,-0.001428,-0.007571,-0.878774,1.851839,2.096057,0.35596,0.425585,0.382376,11.626716,-3.291901,-2.210288,0.074428,0.063206,0.024964,-0.001304,-0.000102,0.000006,0,-0,-0.162597,0.208352,0.036914,0.005119,0.049787,0.017205,10.412069,-4.506547,-3.424934,-1.214646,0.027277,0.006228,0.000662,0.000151,-0,-0,0,-0,-0.034167,0.033877,0.001103,0.000505,0.002833,0.000804,Spot
35,20.032459,5.613489,5.116763,3.299166,-3.084033,-0.765845,3.451592,-0.508139,70.001839,-7.431085,8.392661,28.64045,13.770191,6.961805,5.697131,15.046322,-4.986137,0.979701,0.879049,0.135485,-0.13146,-0.013312,0.015833,0.002189,-0.010035,-1.723265,1.965248,2.166934,0.542919,0.439044,0.435772,11.775674,-8.256785,-3.270648,0.077506,0.063712,0.046196,-0.000634,-0.000138,0.000004,0.000001,-0,-0.187414,0.18433,0.03034,0.005404,0.049107,0.017175,10.445724,-9.586735,-4.600597,-1.329949,0.027133,0.006584,0.001745,0.000142,-0,-0,0,0,-0.035463,0.032841,0.001033,0.000505,0.002795,0.000776,Spot
39,22.041349,7.973112,6.521194,3.309865,-0.570681,-2.427221,1.175972,25.268446,-104.765831,-11.18444,8.866978,32.298077,18.671711,7.371046,6.078595,15.50987,-6.53148,1.05278,0.968097,0.016178,-0.044777,-0.015354,0.003217,0.004072,-0.000196,-2.004699,1.990402,2.166561,0.589044,0.461548,0.435143,11.877089,-10.164261,-3.632781,0.0793,0.065642,0.053746,0.000159,-0.000152,0.000001,0.000001,-0,-0.198688,0.152165,0.022619,0.005553,0.04823,0.016727,10.476524,-11.564825,-5.033345,-1.400564,0.026976,0.006815,0.002781,0.000125,-0,-0,0,0,-0.036572,0.031335,0.000956,0.000488,0.002768,0.000728,Spot
26,18.018969,5.73077,5.260264,3.240712,2.429309,-0.946677,-3.162583,5.938169,25.578623,-2.770206,8.208395,35.794548,12.930263,7.190655,5.877155,15.00614,-3.012829,0.934941,0.748599,0.219822,0.06613,-0.007793,-0.011554,0.002137,0.009522,-1.463717,2.051472,2.285693,0.508281,0.450894,0.426915,11.921888,-6.09708,-3.084251,0.080443,0.06963,0.044272,0.000956,-0.00014,-0.000002,0,0,-0.194344,0.124957,0.016417,0.00555,0.047097,0.015873,10.503198,-7.515771,-4.502942,-1.418691,0.026812,0.006903,0.003727,0.0001,0,-0,0,0,-0.037442,0.029547,0.00089,0.00045,0.00275,0.000671,Spot
10,12.161256,3.459565,0.956287,0.20376,-0.579803,-0.082535,-0.226482,17.191507,0.403265,2.299518,2.863159,10.829226,2.21683,4.834246,3.974353,12.738794,0.577538,0.583989,0.50232,0.361871,-0.126086,0.002544,0.007204,-0.001864,-0.001904,-0.280202,1.516965,1.647962,0.202019,0.378533,0.323497,11.489936,-0.67132,-1.248858,0.07264,0.049756,0.011758,-0.001366,-0.000053,0.000007,0,-0,-0.134154,0.226285,0.043288,0.005052,0.049595,0.019263,10.396279,-1.764977,-2.342515,-1.093657,0.027251,0.005899,0.000019,0.000196,-0,-0,0,-0,-0.033132,0.034082,0.001119,0.000498,0.00283,0.00079,Spot
12,14.269869,4.384854,2.169205,1.482018,-0.750348,0.829545,-2.311613,-2.656453,-6.150309,0.733631,4.689333,16.830311,4.91467,5.543979,4.666099,13.527416,-0.742453,0.631474,0.554077,0.480091,-0.10841,0.003494,0.006667,-0.002313,0.001879,-0.70546,1.751343,1.958346,0.284106,0.406066,0.353764,11.627077,-2.642792,-1.900339,0.074794,0.047791,0.032057,-0.0005,-0.000074,0.000005,0,-0,-0.154642,0.216843,0.040162,0.005286,0.048689,0.019598,10.427768,-3.842101,-3.099648,-1.199309,0.027128,0.006199,0.001048,0.000185,-0,-0,0,0,-0.034375,0.033771,0.00109,0.000503,0.002793,0.000794,Spot
12,15.146214,4.63839,2.916456,2.306784,0.055858,0.971801,-2.13524,-26.70582,58.570217,-0.58485,5.098767,19.272993,6.485048,5.884038,4.966332,13.823763,-1.322452,0.685827,0.605574,0.46927,-0.032722,0.002676,0.000694,-0.000889,0.002994,-0.822131,1.81532,2.043834,0.310428,0.419474,0.356856,11.725366,-3.420849,-2.098397,0.075461,0.04816,0.040992,0.000511,-0.000083,0.000001,0,-0,-0.164613,0.198075,0.034274,0.005358,0.047665,0.019243,10.456714,-4.689501,-3.367049,-1.268652,0.026998,0.006362,0.00209,0.000164,-0,-0,0,0,-0.035449,0.033043,0.001047,0.000498,0.002764,0.000783,Spot
10,13.636832,4.435803,2.217764,1.457342,0.626326,-0.602926,3.045159,0.587782,-34.929577,0.760697,3.860243,17.301609,4.707186,5.764424,4.789238,13.502997,-0.133835,0.637522,0.601259,0.467058,0.061572,-0.000135,-0.004857,0.00179,0.000045,-0.503321,1.714617,1.918289,0.278673,0.407528,0.349169,11.776232,-1.8606,-1.726766,0.074752,0.056581,0.031065,0.001509,-0.000077,-0.000003,0,0,-0.162397,0.176994,0.027878,0.005256,0.046481,0.018279,10.48191,-3.154922,-3.021088,-1.294322,0.026866,0.00637,0.003068,0.000134,0,-0,0,0,-0.036304,0.032024,0.001001,0.000481,0.002744,0.000762,Spot
10,11.898873,6.588288,1.707433,0.514866,1.927537,-0.129788,1.457095,9.467325,53.401901,4.365988,4.109936,37.659077,7.885318,12.591877,11.561349,13.724216,1.825342,1.116372,0.769432,0.512162,0.222071,0.001436,-0.016093,-0.000163,0.004095,-0.165222,2.476804,4.310635,0.513413,0.928696,0.805803,12.024561,0.125688,-1.699655,0.089024,0.076159,0.026488,0.000818,-0.000097,-0.000012,0,0,-0.191671,0.253493,0.050767,0.006333,0.049561,0.019353,10.751444,-1.147429,-2.972772,-1.273117,0.023994,0.005714,0.001825,-0.000163,-0,0,0,0,-0.031534,0.027401,0.001025,0.000135,0.00261,0.000366,Spot
6,12.753984,7.619825,1.803873,0.894827,0.026885,-1.486309,-3.043509,17.070448,51.765533,4.921126,5.732223,47.662907,10.354446,13.708953,12.068416,14.159457,1.405473,1.064778,0.843149,0.645002,0.058036,0.00111,-0.000104,0.004247,-0.001279,-0.423373,2.734974,4.912539,0.58924,1.016125,0.822232,12.024235,-0.72975,-2.135222,0.091851,0.077339,0.035321,-0.000119,-0.000112,-0.000006,0,0,-0.204511,0.264747,0.056451,0.006949,0.050833,0.022588,10.733229,-2.020756,-3.426229,-1.291006,0.024005,0.005162,0.001654,-0.000148,-0,0,0,-0,-0.030822,0.029941,0.001113,0.000179,0.002603,0.000435,Spot
10,12.090537,6.520585,1.736796,0.640718,-2.067298,0.169922,0.153622,-23.771975,-96.407318,4.143071,4.424869,41.293674,7.77253,13.705141,11.449319,13.802126,1.711589,1.141642,0.775658,0.600825,-0.130863,0.001544,0.016038,0.004459,-0.005308,-0.234841,2.645077,4.826734,0.513701,1.051337,0.777642,11.935994,-0.154543,-1.866132,0.091734,0.073274,0.030748,-0.001317,-0.000104,0.000002,0,-0,-0.195756,0.285874,0.066214,0.007244,0.050515,0.026146,10.71011,-1.380427,-3.092016,-1.225884,0.023987,0.004398,0.001435,-0.000128,-0,0,0,-0,-0.02982,0.032824,0.001243,0.000213,0.00261,0.000503,Spot
15,16.830379,10.52438,4.537655,3.110515,3.986067,0.165641,-4.368502,4.742221,-56.295166,2.876209,9.761031,72.152588,21.713943,15.298848,13.553465,15.609337,-1.221043,1.179623,0.960189,0.751991,0.204432,-0.007656,-0.022911,-0.000791,0.013804,-1.387822,3.016457,5.278894,0.928867,1.000726,0.955726,12.172785,-4.657595,-3.436552,0.099746,0.081066,0.053414,0.00011,-0.000171,-0.000009,0.000001,0,-0.234226,0.23139,0.043476,0.007846,0.050768,0.020697,10.758866,-6.071513,-4.850471,-1.413918,0.023951,0.00609,0.001809,-0.000181,-0,0,0,-0,-0.03185,0.026543,0.001003,0.000116,0.002613,0.000348,Spot
10,19.923576,10.835472,6.418587,4.9414,0.202125,-0.464031,1.21076,15.810154,68.402885,-0.524514,12.35034,85.686234,29.689838,16.475285,14.363232,16.352024,-3.571552,1.321557,1.168634,0.538935,0.061523,-0.008169,-0.002637,0.001231,-0.000616,-1.951256,3.205263,5.683643,1.08673,1.105116,0.967077,12.183401,-7.740175,-4.168623,0.103074,0.083482,0.063993,-0.000369,-0.000195,-0.000004,0.000001,0,-0.250549,0.235549,0.046656,0.008378,0.051963,0.02347,10.742078,-9.181499,-5.609946,-1.441323,0.023966,0.005579,0.001641,-0.000163,-0,0,0,-0,-0.031186,0.029136,0.00109,0.000161,0.002609,0.000414,Spot
10,17.549953,10.346134,4.803309,3.636086,-3.599599,-1.074039,1.594491,-12.569967,67.437691,1.906739,10.244605,79.685036,21.292767,16.337166,13.804084,15.851933,-1.698021,1.209045,1.072076,0.70989,-0.10972,-0.002103,0.019952,0.002373,-0.014268,-1.571231,3.190284,5.821508,0.948416,1.145543,0.925421,12.094759,-5.455194,-3.757174,0.101881,0.081983,0.057367,-0.001065,-0.000184,0.000001,0.000001,-0,-0.241231,0.263232,0.057709,0.008533,0.051483,0.026962,10.720147,-6.829806,-5.131785,-1.374612,0.023951,0.004836,0.001422,-0.00014,-0,0,0,-0,-0.030209,0.032206,0.001224,0.000197,0.002621,0.000481,Spot
18,22.232876,10.933317,7.476319,6.242319,2.422369,0.853543,-3.372548,-15.64514,25.59388,-2.785321,13.865126,90.394318,34.558422,16.883982,14.696692,16.916763,-5.316113,1.455375,1.350984,0.41153,0.092758,-0.014512,-0.011267,-0.000816,0.007968,-2.39483,3.111943,5.241443,1.245228,1.055272,1.011644,12.246873,-9.986003,-4.66989,0.104811,0.087761,0.065613,-0.000821,-0.000213,-0.000003,0.000001,0,-0.258185,0.210239,0.037174,0.008708,0.050663,0.021573,10.763841,-11.469035,-6.152923,-1.483032,0.023893,0.006402,0.001678,-0.000194,-0,0,0,-0,-0.031973,0.026122,0.001005,0.000096,0.002629,0.000327,Spot
36,27.511307,10.858204,9.73715,9.079915,0.304504,3.42898,5.302546,-30.614162,-216.009949,-11.51544,16.461517,98.899231,49.569397,18.055435,15.740578,17.870142,-9.641165,1.64762,1.614669,0.073214,0.040671,-0.013697,-0.002824,-0.004602,0.000591,-3.189075,3.170693,5.270501,1.48155,1.143592,1.048052,12.265371,-15.245935,-5.604771,0.109111,0.096365,0.071026,-0.000679,-0.000245,-0.000002,0.000001,0,-0.276502,0.205808,0.037382,0.00925,0.051733,0.023881,10.74876,-16.762547,-7.121382,-1.516611,0.023911,0.00595,0.001508,-0.000173,-0,0,0,-0,-0.031369,0.028601,0.001086,0.000139,0.002629,0.000388,Spot
37,23.511219,10.623437,8.071522,7.640326,-2.101715,-0.869582,1.773629,49.007744,127.790794,-5.08841,14.292726,100.700066,34.299057,17.783499,15.285244,17.281504,-6.229715,1.520625,1.440977,0.281991,-0.031487,-0.003715,0.008254,-0.003752,-0.007517,-2.67961,3.268202,5.716862,1.325187,1.173503,1.033575,12.178144,-11.333075,-5.103359,0.107943,0.095973,0.063087,-0.000683,-0.000232,0,0.000001,-0,-0.267003,0.238106,0.048624,0.009415,0.051137,0.02726,10.728349,-12.78287,-6.553155,-1.449796,0.023898,0.005249,0.001286,-0.000147,-0,0,0,-0,-0.030433,0.03172,0.001218,0.000176,0.002645,0.000451,Spot
25,22.688803,10.375499,8.057981,6.732867,-2.593405,-0.569862,4.128978,28.01306,60.297077,-4.415349,13.339929,86.435867,34.277653,16.897577,14.795956,16.935295,-5.753508,1.463155,1.408787,0.441645,-0.069585,-0.014291,0.011297,0.000608,-0.00877,-2.430296,3.079123,5.163795,1.236308,1.083058,0.997316,12.229768,-10.459035,-4.705527,0.102929,0.095702,0.057846,-0.001801,-0.000211,0.000003,0.000001,-0,-0.256477,0.210943,0.036554,0.008614,0.049242,0.021604,10.766241,-11.922562,-6.169054,-1.463527,0.02382,0.006635,0.001449,-0.000202,-0,0,0,-0,-0.031904,0.026251,0.00103,0.000076,0.002657,0.000307,Spot
26,27.482597,10.628768,9.428205,8.779715,-0.248877,3.443569,-1.246144,-39.671814,73.889282,-11.277258,16.441883,97.922218,48.59417,17.967352,15.969801,17.898605,-9.583992,1.683621,1.629345,0.088854,-0.000456,-0.011081,-0.000029,-0.006456,0.000439,-3.224113,3.141191,5.174594,1.535908,1.135079,1.078062,12.251762,-15.230835,-5.646843,0.108521,0.105488,0.060788,-0.000981,-0.000245,0.000001,0.000001,-0,-0.274797,0.202333,0.034612,0.009286,0.050185,0.023559,10.75316,-16.729439,-7.145446,-1.498603,0.02384,0.006252,0.001278,-0.000178,-0,0,0,-0,-0.03137,0.02845,0.001103,0.000114,0.00266,0.000359,Spot
22,23.469961,11.266757,7.887866,7.317815,2.167425,2.15322,-0.331982,-18.035524,-184.157303,-3.938924,14.212179,99.577576,37.949997,17.61062,15.606465,17.326042,-6.143919,1.58363,1.417907,0.270866,0.066803,-0.001769,-0.011197,-0.007579,0.009225,-2.730671,3.244599,5.629316,1.429411,1.129996,1.101395,12.167473,-11.302488,-5.158569,0.10922,0.103082,0.053199,-0.000218,-0.000235,-0.000001,0.000001,0,-0.2655,0.232628,0.045418,0.009705,0.049585,0.026935,10.734589,-12.735373,-6.591454,-1.432884,0.023828,0.005609,0.001054,-0.000148,-0,0,0,-0,-0.03049,0.031464,0.001229,0.000151,0.002679,0.000416,Spot
