@relation segment

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Hessian_largest_1.0_true numeric
@attribute Hessian_middle_1.0_true numeric
@attribute Hessian_smallest_1.0_true numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Laplacian_1.0 numeric
@attribute Edges_1.0 numeric
@attribute Structure_largest_1.0_1.0 numeric
@attribute Structure_smallest_1.0_1.0 numeric
@attribute Structure_largest_1.0_3.0 numeric
@attribute Structure_smallest_1.0_3.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Hessian_largest_2.0_true numeric
@attribute Hessian_middle_2.0_true numeric
@attribute Hessian_smallest_2.0_true numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Laplacian_2.0 numeric
@attribute Edges_2.0 numeric
@attribute Structure_largest_2.0_1.0 numeric
@attribute Structure_smallest_2.0_1.0 numeric
@attribute Structure_largest_2.0_3.0 numeric
@attribute Structure_smallest_2.0_3.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Hessian_largest_4.0_true numeric
@attribute Hessian_middle_4.0_true numeric
@attribute Hessian_smallest_4.0_true numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Laplacian_4.0 numeric
@attribute Edges_4.0 numeric
@attribute Structure_largest_4.0_1.0 numeric
@attribute Structure_smallest_4.0_1.0 numeric
@attribute Structure_largest_4.0_3.0 numeric
@attribute Structure_smallest_4.0_3.0 numeric
@attribute class {Spot,NotSpot}

@data
187,100.145851,47.50877,30.711802,10.671287,-0.162605,-7.45046,3.50295,82.214417,-350.396362,-88.891861,24.529413,495.411591,201.524643,254.490585,40.166077,59.035065,-41.110786,5.313185,3.002204,2.301325,0.019305,-0.093435,-0.003995,0.027933,0.00182,-10.616714,4.077997,17.261019,6.848782,12.30312,3.214947,42.884476,-57.261375,-16.150589,0.311174,0.198875,0.167421,0.001539,-0.000189,-0.000001,0.000001,0,-0.67747,0.659096,0.52991,0.036616,0.776484,0.091418,Spot
240,107.713348,47.571499,31.133486,29.687857,0.082737,-10.463366,-13.145485,-31.862978,485.806274,-108.392838,19.916019,514.483398,236.370071,255.706345,40.929955,60.251209,-47.462139,5.430428,3.247476,2.760891,-0.013446,-0.110906,0.001748,0.036925,0.001104,-11.438794,3.436562,17.752605,5.058193,12.545659,3.244533,42.999477,-64.713867,-17.251732,0.31288,0.218537,0.169863,0.001073,-0.000195,-0.000001,0.000001,-0,-0.701281,0.624643,0.499128,0.037161,0.768389,0.093018,Spot
96,87.689926,33.634972,22.907515,1.371811,-0.433103,1.094831,-1.91364,-31.233746,-40.484886,-55.170677,29.899744,392.525208,240.836197,249.629349,38.446583,58.039749,-29.650177,5.105535,2.566766,1.807457,-0.047136,-0.062349,0.007214,0.010243,-0.002438,-9.479759,4.602504,18.329985,6.352835,12.342659,3.160111,42.862324,-44.827602,-15.177425,0.311265,0.201384,0.158958,0.000487,-0.00016,0.000001,0.000001,-0,-0.671607,0.65354,0.520563,0.035986,0.763886,0.088882,Spot
53,62.496948,19.278095,16.137465,6.572838,-2.189739,6.502113,16.179771,11.396125,-255.216782,-9.71347,20.846142,244.381805,193.841537,237.703995,33.337959,53.61187,-8.885078,4.478897,1.703336,0.019905,-0.073708,0.011212,0.008806,-0.021838,-0.006226,-6.162328,5.184948,18.035053,6.656446,11.735897,2.963232,42.499592,-19.997356,-11.112278,0.306197,0.165521,0.123854,-0.000215,-0.000095,0.000002,0,-0,-0.595572,0.716784,0.574395,0.033721,0.761045,0.080041,Spot
43,49.611591,14.216016,11.787834,0.262904,-2.369899,3.098136,7.320255,2.546692,-126.894699,-2.691086,9.505423,168.293243,86.353737,223.00174,26.86503,48.917618,-0.693974,3.808826,1.252427,0.841013,-0.080974,0.054788,0.005289,-0.026232,-0.004507,-3.397412,4.429643,14.735357,5.502131,10.852412,2.655346,41.973366,-7.638226,-6.944252,0.298562,0.1367,0.056815,-0.001005,-0.000019,0.000003,-0,-0,-0.492077,0.765178,0.619755,0.031307,0.755982,0.069039,Spot
80,71.672653,30.783489,12.776384,11.775141,-2.475024,4.727361,7.735238,-110.861595,-172.362106,-31.784733,28.320139,341.025726,237.867966,246.548325,36.822002,54.746788,-16.925865,4.6501,2.0203,0.45042,-0.04471,-0.014063,0.007988,-0.010492,-0.004408,-7.120821,5.208267,17.788219,7.246513,11.788601,3.030814,42.688862,-28.983791,-12.057926,0.306701,0.170926,0.136219,0.001768,-0.000135,0.000002,0.000001,-0,-0.613847,0.688251,0.548497,0.033495,0.775037,0.085776,Spot
251,98.045235,47.005772,28.8873,14.22176,-3.723762,-11.032958,13.070729,116.063995,27.600708,-90.114822,28.120741,472.757843,261.98584,253.829712,40.296047,58.875687,-39.169548,5.181215,2.690534,2.38226,-0.04244,-0.082162,0.008696,0.02403,-0.005241,-10.254009,4.300805,18.011333,6.497341,12.410437,3.211756,43.027325,-55.01791,-15.848362,0.311121,0.205467,0.166004,0.001299,-0.000179,0.000001,0.000001,-0,-0.682592,0.611711,0.480619,0.036078,0.762739,0.092757,Spot
251,106.909973,49.440632,32.744743,26.321215,-1.682834,-11.354174,4.514912,44.427837,-199.853592,-108.506592,20.253225,500.656433,226.979691,254.66745,40.751865,60.2178,-46.692173,5.302786,3.332627,2.629736,-0.02518,-0.106714,0.003036,0.038162,-0.002096,-11.265149,3.551114,18.273804,5.123646,12.647891,3.264814,43.130291,-63.779682,-17.087509,0.312566,0.219198,0.173228,0.00072,-0.000185,0.000001,0.000001,0,-0.704992,0.578758,0.452781,0.037697,0.753767,0.094769,Spot
144,87.873444,34.676407,23.276741,1.258483,2.427017,0.089996,-18.291243,-12.238692,355.956879,-56.694664,29.035229,386.551849,225.905884,248.334412,38.007568,58.093746,-29.779697,5.027379,2.601973,1.824885,-0.004255,-0.063213,-0.004607,0.013762,0.001798,-9.454236,4.627175,18.806974,6.085244,12.441954,3.195221,42.98011,-44.893333,-15.113636,0.310542,0.195195,0.168052,0.00009,-0.000151,0,0.000001,0,-0.673789,0.617332,0.480402,0.037127,0.749558,0.090787,Spot
64,63.158401,20.113991,16.609823,9.17799,1.930366,5.890022,1.479455,-48.989555,-188.836121,-12.682157,20.34313,244.049652,189.857956,236.289276,32.817234,53.644974,-9.513428,4.449804,1.598971,0.108991,0.007669,0.008771,-0.0082,-0.018221,0.00278,-6.157766,5.269766,18.612326,6.554212,11.833311,3.005861,42.603886,-20.554516,-11.041088,0.305178,0.154227,0.136736,-0.000539,-0.000087,-0,0,0,-0.596141,0.691427,0.541638,0.034773,0.747966,0.081967,Spot
64,50.501003,14.575885,9.848453,2.398077,1.243071,2.449068,-1.966299,10.988569,115.775955,-7.125509,10.81455,170.355087,85.772911,221.622864,26.479265,48.860672,-1.640331,3.810637,1.217061,0.746329,0.010382,0.052607,-0.006409,-0.024306,0.00281,-3.339905,4.535299,15.281507,5.522033,10.948369,2.701891,42.065258,-8.435745,-6.795414,0.297518,0.133761,0.060087,-0.001134,-0.000012,-0.000001,-0,0,-0.491367,0.746962,0.593543,0.03192,0.744766,0.070852,Spot
75,58.866901,22.914536,19.741707,7.188906,-1.053917,-1.153985,-8.953228,35.761616,291.155182,-10.361732,19.598667,263.721893,187.450165,241.539337,34.009357,52.622063,-6.244839,4.285978,1.523434,0.523442,-0.108375,0.007448,0.014599,-0.009053,-0.003177,-5.28597,5.010554,16.735662,6.326979,11.538622,2.802584,42.650684,-16.216217,-9.971378,0.303471,0.173828,0.107466,0.001662,-0.000098,0.000005,0,-0,-0.584764,0.66886,0.52104,0.030265,0.760312,0.08298,Spot
64,73.43972,29.828642,15.27005,13.431355,-1.914916,2.49495,-0.721728,-51.312496,-42.355518,-27.989948,28.87604,341.713776,243.340698,247.783463,37.001522,56.126526,-17.313194,4.729827,2.261614,0.699111,-0.071259,-0.02606,0.013123,-0.00151,-0.005203,-7.690552,4.891475,17.573393,6.197845,12.109122,2.976183,42.962494,-30.477226,-13.164032,0.307247,0.200665,0.139707,0.001135,-0.000133,0.000004,0.000001,-0,-0.647619,0.604431,0.463446,0.033006,0.747519,0.090155,Spot
75,79.80748,30.418341,18.053568,10.94404,-1.204836,4.277773,10.872271,-46.003841,-184.207657,-37.527866,28.892111,357.988983,226.203781,248.260193,37.154812,57.415005,-22.392475,4.875022,2.767672,0.987639,-0.009343,-0.043188,0.00126,0.005479,-0.004016,-8.630333,4.504991,17.549189,4.771325,12.327145,3.033158,43.048775,-36.758705,-14.36623,0.308212,0.208916,0.150534,0.000507,-0.000139,0.000002,0.000001,0,-0.667662,0.580669,0.442714,0.035433,0.73846,0.092367,Spot
43,70.917603,23.698681,16.54969,13.855865,2.440376,-0.539895,-2.959112,-1.20149,42.169666,-21.004856,23.069988,294.214478,190.17453,242.286545,34.413937,55.814178,-15.103424,4.675249,2.41,0.377007,0.05394,-0.028837,-0.013196,0.005483,0.002739,-7.462256,4.761173,17.607756,5.495768,12.136113,2.981222,42.893234,-28.024368,-12.920944,0.305989,0.18636,0.145558,-0.00011,-0.000113,-0.000001,0.000001,0,-0.637907,0.619365,0.47163,0.03595,0.734427,0.088759,Spot
32,57.341347,17.313166,15.290589,3.823054,3.132815,-1.161364,-7.12205,21.266396,123.717384,-5.845631,14.429284,215.003372,132.609863,231.160797,29.60887,52.169697,-5.17165,4.235065,1.489189,0.621649,0.091371,0.0012,-0.0189,0.001222,0.008466,-5.102604,4.834749,16.799538,5.908101,11.571941,2.820719,42.521633,-14.819714,-9.648064,0.300826,0.148283,0.115695,-0.000626,-0.000062,-0.000003,0,0,-0.564804,0.687295,0.529214,0.034486,0.733242,0.080551,Spot
59,49.630573,15.095717,6.138124,1.138097,2.034823,-0.681404,0.572159,37.151367,-79.819458,-7.819496,10.247412,169.427826,57.03727,217.697113,23.991381,48.117802,-1.512772,3.737209,1.353361,0.63736,0.094535,0.02113,-0.012404,-0.001813,0.00691,-3.021208,4.046867,13.546813,5.071249,10.75079,2.550806,41.995689,-7.634884,-6.122112,0.293701,0.124503,0.048394,-0.001006,-0.000003,-0.000004,-0,0,-0.466598,0.736074,0.575806,0.03207,0.730775,0.070167,Spot
32,55.603092,19.24239,17.804029,1.987995,-0.578267,6.630627,-6.327816,-53.501305,153.063568,-0.549635,12.817374,234.388733,131.129196,238.146179,31.144169,52.389408,-3.213684,4.169584,1.537217,0.829143,-0.07103,0.026889,0.008409,-0.018732,0.000199,-4.877657,4.456995,14.959788,5.418433,11.477222,2.561042,42.725613,-12.87748,-9.663795,0.300412,0.184802,0.0977,0.001038,-0.000065,0.000005,0,-0,-0.582914,0.624742,0.469471,0.027956,0.731799,0.084026,Spot
53,58.807804,18.214382,17.680527,4.845191,0.274269,7.005168,-5.498349,-59.685158,262.000458,-4.311337,13.703397,238.512299,132.798386,238.259323,31.062201,53.485283,-5.322521,4.296976,1.9207,0.638252,0.010125,0.02534,-0.001528,-0.023538,-0.001113,-5.579423,4.340293,15.055783,4.841259,11.664363,2.605329,42.791409,-16.016396,-10.693874,0.300863,0.190507,0.108595,0.000458,-0.000069,0.000002,0,0,-0.599965,0.612675,0.457527,0.031487,0.723207,0.086347,Spot
64,57.956192,17.101229,14.567534,6.00674,1.966717,-2.07465,9.633318,101.754166,-475.126007,-8.540436,10.653143,218.250702,99.977066,233.052734,28.573017,52.561192,-5.395,4.200917,1.817931,0.873319,0.088549,0.011436,-0.012909,-0.005129,0.001265,-5.145529,4.166734,14.59712,4.709583,11.501508,2.571377,42.636585,-15.319607,-9.924606,0.298659,0.172425,0.102961,-0.000065,-0.000056,-0.000001,0,0,-0.574046,0.644325,0.483414,0.033463,0.719097,0.083387,Spot
64,54.289959,17.608892,9.1297,2.955995,2.078915,-3.897959,-2.485545,29.735025,218.835373,-11.435188,9.005069,192.957825,58.761677,223.53566,24.505901,50.085979,-4.203979,3.94699,1.235549,1.193308,0.131782,-0.005252,-0.015959,0.015047,0.004355,-3.989231,3.865091,13.302067,4.773546,11.017129,2.453709,42.28413,-12.005829,-7.801849,0.293996,0.139056,0.077247,-0.000426,-0.000028,-0.000004,0,0,-0.510299,0.695245,0.529241,0.033261,0.717446,0.076333,Spot
48,51.075817,18.104717,3.131722,0.149907,1.410133,0.115042,-3.595412,-118.975105,125.686073,-15.122903,9.225568,174.555069,23.908939,212.028381,20.024307,47.150768,-3.925049,3.639135,1.305036,0.545499,0.130941,-0.013415,-0.008241,0.016381,0.003034,-2.879598,3.195843,10.748789,4.094849,10.309798,2.238719,41.790882,-9.284935,-5.359886,0.287712,0.11062,0.026323,-0.000598,0.000003,-0.000007,-0,0,-0.424654,0.728605,0.562444,0.031647,0.714589,0.06734,Spot
37,54.131474,15.525174,8.575445,0.185806,0.630642,-0.287749,-13.685476,-3.189678,279.382599,-6.763923,15.783558,240.937561,38.339169,230.235931,13.345529,50.661945,-3.469528,3.851243,0.663693,0.515661,-0.028549,0.008391,0.003136,-0.002545,0.002405,-3.999275,2.489104,7.68472,3.177978,9.066562,1.284168,41.874466,-12.257008,-8.787479,0.300394,0.154247,0.121824,0.00046,-0.000089,0,0,-0,-0.576466,0.718217,0.586744,0.027071,0.759586,0.083839,Spot
48,56.042767,17.32114,10.578755,1.693883,-0.026897,2.048756,-1.63636,5.869321,-153.890869,-8.436269,14.051969,257.035309,39.27203,231.968155,13.402535,51.48885,-4.553917,3.982688,0.754825,0.221503,-0.055626,0.012517,0.00381,-0.014117,0.003416,-4.51601,2.436596,7.997468,2.997815,9.136044,1.330781,41.928223,-14.114544,-9.560627,0.299586,0.15509,0.13321,0.000287,-0.00011,0.000003,0,-0,-0.587885,0.702845,0.565557,0.029084,0.743204,0.086971,Spot
96,65.081451,21.853819,7.454415,3.413042,-3.593333,-4.089442,12.473081,122.374123,-122.412613,-25.895191,19.086185,293.794128,58.546986,234.827225,15.612933,53.062641,-12.01881,4.123501,0.986969,0.56002,-0.04767,-0.012368,0.013071,0.005565,-0.014487,-5.67049,2.633743,8.663021,3.210552,9.307001,1.426928,42.160366,-22.921085,-10.902275,0.302108,0.176002,0.136622,0.000757,-0.000108,-0.000001,0,-0,-0.614732,0.649654,0.513474,0.02639,0.736251,0.087217,Spot
69,67.266068,25.887388,5.034535,4.253871,-2.237051,1.596965,-1.218282,-45.475742,260.845978,-25.106724,20.8015,333.884857,65.24678,236.989166,15.833988,53.978069,-13.287998,4.273636,1.292213,0.712728,-0.081356,-0.016736,0.013444,-0.004275,-0.01001,-6.278576,2.24735,8.873802,2.666537,9.371985,1.483823,42.217335,-25.048733,-11.760735,0.301676,0.182992,0.143005,0.000271,-0.000128,0.000002,0,-0,-0.627673,0.627386,0.487276,0.028236,0.718418,0.091084,Spot
69,65.460083,25.301723,8.68686,4.103982,1.652132,2.429026,-7.510299,3.850996,-159.990341,-20.718845,19.338356,336.528137,51.190598,235.37413,14.98745,53.60598,-11.854103,4.232056,1.495573,0.3814,-0.05719,-0.014426,0.002384,-0.008724,0.006235,-6.109029,2.032415,8.652632,2.091908,9.268263,1.450969,42.102577,-23.357506,-11.503403,0.298926,0.185316,0.129034,-0.000118,-0.000125,0.000004,0,-0,-0.613276,0.629776,0.480239,0.02864,0.700938,0.091941,Spot
96,75.592865,28.768681,11.547274,2.592051,-4.248172,0.077628,21.49192,-42.955097,-452.856323,-42.908005,15.529026,315.524719,59.064201,234.553925,17.104216,54.642307,-20.950558,4.309997,1.711053,1.171026,-0.047469,-0.031758,0.013059,0.009417,-0.015675,-7.192075,2.122625,9.603933,2.429258,9.413356,1.530395,42.236336,-33.356529,-12.405972,0.302379,0.180163,0.139825,0.000866,-0.00011,-0.000002,0,-0,-0.622367,0.606357,0.462328,0.029832,0.708747,0.089657,Spot
139,82.014366,34.964378,15.769575,9.936893,-3.481495,-3.525141,9.666938,-18.440639,-104.720734,-60.670845,17.768732,388.128815,71.958824,236.695908,17.501213,55.442764,-26.571602,4.45937,2.048897,1.298143,-0.080022,-0.049126,0.013782,0.015589,-0.014289,-7.80641,1.437302,9.711621,2.191354,9.462947,1.606462,42.287563,-39.726803,-13.155201,0.302073,0.185895,0.146274,0.000113,-0.000126,0.000001,0,-0,-0.634241,0.583858,0.43653,0.032828,0.690323,0.094534,Spot
149,78.231422,35.192543,15.527875,4.866961,0.486481,-4.265025,-12.605132,41.571255,335.119568,-55.587379,19.755114,393.579041,60.012436,234.974075,16.697687,54.617176,-23.614246,4.361523,1.988799,0.869572,-0.064265,-0.040631,0.003189,0.010465,0.003346,-7.219894,1.816591,9.354884,2.128605,9.329915,1.584693,42.16227,-36.069153,-12.454906,0.298778,0.185743,0.132868,-0.000594,-0.000117,0.000003,0,-0,-0.617389,0.592415,0.434114,0.035465,0.673325,0.096506,Spot
117,67.927559,28.227758,12.561649,3.831161,1.432353,-1.870552,-1.299723,7.616162,-101.315689,-36.958248,18.206177,330.627533,47.883392,229.254013,14.871654,52.55312,-15.374439,4.072129,1.553312,0.221987,-0.04176,-0.015061,-0.004635,-0.00021,0.012577,-5.847427,2.379225,8.762327,2.497034,9.041281,1.467824,41.878868,-26.048691,-10.674252,0.292376,0.180298,0.103221,-0.001218,-0.000086,0.000005,0,-0,-0.575895,0.620656,0.448084,0.037016,0.657953,0.09518,Spot
80,75.097725,24.339533,14.248511,1.725647,0.000876,1.721791,-8.222404,-76.393639,254.283249,-40.31369,15.00753,282.278137,68.859932,228.938492,17.47138,54.299141,-20.798584,4.231813,2.03239,1.085196,-0.011538,-0.032183,0.001239,0.003933,0.00079,-7.3494,2.398705,10.492825,2.129869,9.351523,1.579589,42.088818,-33.008907,-12.210323,0.297839,0.163536,0.132681,0.000768,-0.000092,-0.000002,0,-0,-0.594056,0.606981,0.44575,0.035141,0.6812,0.089542,Spot
165,82.808342,34.280579,18.818901,10.913188,-0.247534,-5.632539,1.464057,64.423447,-169.931686,-64.012665,15.755659,361.37381,84.809433,230.669632,18.012108,54.805351,-28.002991,4.373854,2.085391,1.363637,-0.034408,-0.054785,0.001496,0.021019,-0.000913,-7.822882,2.207085,10.570002,2.811715,9.378286,1.673651,42.127121,-40.681221,-12.67823,0.296819,0.163858,0.142298,-0.000151,-0.000101,0,0,-0,-0.602975,0.591992,0.425791,0.039074,0.663173,0.095288,Spot
128,78.718552,34.431702,17.31134,8.830847,-0.60946,-5.252782,5.177462,-14.022185,-14.124613,-60.573891,19.661785,370.885406,86.842178,228.812286,17.316149,53.651321,-25.06723,4.250802,1.742957,0.99381,-0.042431,-0.045549,0.00061,0.020468,-0.001303,-6.987568,2.743635,10.225869,3.414066,9.21945,1.667712,41.991619,-36.726933,-11.659702,0.292562,0.160817,0.130388,-0.001065,-0.000089,0.000002,0,-0,-0.583767,0.605774,0.429384,0.04226,0.647167,0.098178,Spot
112,65.919868,27.428532,10.188036,0.374063,0.322812,-2.790684,-5.130614,60.167923,-5.840986,-37.242508,20.574497,304.81897,80.707031,223.276016,15.540886,51.339787,-14.580082,3.927266,1.29552,0.119386,-0.046209,-0.010784,-0.000249,0.00277,0.000666,-5.342173,3.083377,9.554057,3.479283,8.905261,1.562013,41.701836,-24.218033,-9.637951,0.285368,0.156216,0.099537,-0.001883,-0.000059,0.000004,-0,-0,-0.54112,0.63547,0.447886,0.043313,0.633233,0.097581,Spot
59,63.135544,18.294418,6.605563,4.853591,3.454864,0.518236,-15.716021,53.097004,318.157898,-16.542448,15.676372,217.163147,79.77034,218.828705,16.609907,51.941715,-11.193829,3.934247,1.500651,0.519738,0.038262,-0.013279,-0.011166,-0.005088,0.013481,-5.954637,3.339228,11.211723,2.880604,9.11751,1.566709,41.748234,-21.38731,-10.193481,0.287414,0.142192,0.103434,0.000524,-0.000056,-0.000001,0,0,-0.533039,0.637169,0.456121,0.037638,0.655683,0.085794,Spot
